text,ade,term_PT
"my effexor has left me with the inability to cry. i was dry eyed watching ""into the wild"" and even one of those sarah mclachlan commercials",inability to cry,emotional poverty
"my effexor has left me with the inability to cry. i was dry eyed watching ""into the wild"" and even one of those sarah mclachlan commercials",dry eyed,emotional poverty
"the difference between 'just tired' and 'tired &amp; in a fog' is amazing.  so happy to be done taking levaquin, that stuff is way too strong",in a fog,feeling abnormal
"the difference between 'just tired' and 'tired &amp; in a fog' is amazing.  so happy to be done taking levaquin, that stuff is way too strong",tired,fatigue
@lukehedgecutter i cant sleep im having a well bad nicotine craving,craving,nicotine dependence
@lukehedgecutter i cant sleep im having a well bad nicotine craving,cant sleep,insomnia
@dougmoneybags quetiapine. very low dose even with increase. helps me get to sleep (&amp; eat in general) but feel really groggy in the morning,groggy in the morning,somnolence
"@major___tom mm, i'm wary of trying new meds after a really bad reaction to fluoxetine, but i've heard a lot of good things about citalopram",reaction,hypersensitivity
"didnt take my fluoxetine this morning because i forgot and i've been so shaky and tired all day, is this like, withdrawal symptoms?",shaky,tremor
"didnt take my fluoxetine this morning because i forgot and i've been so shaky and tired all day, is this like, withdrawal symptoms?",tired,fatigue
"didnt take my fluoxetine this morning because i forgot and i've been so shaky and tired all day, is this like, withdrawal symptoms?",withdrawal,withdrawal syndrome
@hello_nacho @tobiasampersand lexapro gave me the worst mixed episodes. i have some instability with pristiq but i can manage it ok.,instability,affect lability
@hello_nacho @tobiasampersand lexapro gave me the worst mixed episodes. i have some instability with pristiq but i can manage it ok.,mixed episodes,bipolar i disorder
@aravain i've heard of all kinds of skin issues on lamictal! pretty sure mine is psychosomatic though...,skin issues,skin disorder
"i'm so fine today. increasing zyprexa,my condisition became so good. it has a side effect that increase my weight. i must care about it.",increase my weight,weight increased
vyvanse makes you mad *example a*,mad,anger
"#cymbalta withdrawal has reached a peak, lost vision and almost crashed my car from a brain zap. thanks a zillion #elililly #bigpharma",lost vision,blindness
"#cymbalta withdrawal has reached a peak, lost vision and almost crashed my car from a brain zap. thanks a zillion #elililly #bigpharma",withdrawal,withdrawal syndrome
oh man! i've been a total quetiapine zombie all morning! i've been taking them for years but every now  then they really mess me up!,zombie,feeling abnormal
been taking low dosage of paroxetine for the last two years and only recently found out that a common side affect is pinsandneedles.,pinsandneedles,paraesthesia
"well,yesterday was rubbish(post humira)all day in bed,loads of pain etc.just got up and i think i'm alright?give it an hour and reassess lol",pain,pain
@gangamstyledad is that like quetiapine. when i had to take that crap i could not stay up longer than 11 hours,not stay up,somnolence
tysabri bruises are the best http://t.co/l1gpzefu5f,bruises,contusion
"@doctormcpa  had my doctor attempted to treat with bactrim prior to cipro, i wouldn't be crippled today.",crippled,gait inability
"@any1mouse jus gt bck myself, hes put me on citalopram in addition 2 the quetiapine! im a bit worried as citalopram has made me manic before",manic,mania
lamictal dosage increases kind of wreck my head for a day or two. but they also make me super productive as long as i can do things slowly.,wreck my head,mental impairment
@_chanabeth_ @laceykaybee i didn't stay long. and i took a vyvanse so i can't go back to sleep. lol,can't go back to sleep,insomnia
i didn't expect that going off of paxil would make me want to look at my farrah fawcett poster quite so much.,look at my farrah fawcett poster,loss of libido
rt @swagbologna: if this fuckin emt looks at me one more time hes gonna feel the wrath of my vyvanse rage,rage,anger
no #vyvanse = eat everything in sight.,eat,decreased appetite
"thanks to all my re-tweeters, your support is very much appreciated. i took the full dosd of olanzapine last night #sluggish",sluggish,sluggishness
i don't know whether my vyvanse caused my caffeine addiction or caffeine caused my vyvanse addiction.,addiction,dependence
"conclusion: my psychiatrist is not very attentive and i should be on seroquel, not benzos and the maniatriggering lamitol. #ugh",mania,mania
"@privacy625 @sandycolon25 what i take is serious. i never was informed ahead of time. i could get ""metabolic"" syndrome from seroquel.","metabolic"""" syndrome",metabolic syndrome
"@glinda_r @spooniescouch cymbalta withdrawal is getting top billing at the moment, however. ugh! xx",withdrawal ,withdrawal syndrome
restless leg syndrome is bad tonight.  damn you fluoxetine.,restless leg syndrome ,restless legs syndrome
"@50thingsb450 dizzy, out if it and confused on the drugs.  upping the baclofen slowly now as i seem better on these.",dizzy,dizziness
"@50thingsb450 dizzy, out if it and confused on the drugs.  upping the baclofen slowly now as i seem better on these.",out if it,feeling abnormal
"@50thingsb450 dizzy, out if it and confused on the drugs.  upping the baclofen slowly now as i seem better on these.",confused,confusional state
@courage_cub i'm feeling weirdly antsy lately and i'm positive it's due to the prozac and i'm a bit worried where that could lead me,antsy,restlessness
me too. i used to call geodon the potato drug bcuz that's what i looked like after just 5 weeks on it..  @beyondmeds @medskep,potato drug bcuz that's what i looked like,weight increased
@butterflywgs ...my old ones! plus caffeine in the morning counteracts these quite nicely whereas quetiapine hangovers were unshiftable,hangovers,hangover
"@spicynyx fluoxetine and quet combo zombified me...ah, the meds merrygoround #bipolar",zombified,feeling abnormal
humira got a real nigga tired?,tired,fatigue
"@hwise29 yikes! i can usually fight adderall/vyvanse dehydration with water, but it's trickier when you're drinking your stimulants.",dehydration,dehydration
"@samambreen doesn't work. citilopram then fluoxetine before, bothe did nothing for my mood but made me vomit so much i lost 4 stone in 6mo.",vomit,vomiting
"@samambreen doesn't work. citilopram then fluoxetine before, bothe did nothing for my mood but made me vomit so much i lost 4 stone in 6mo.",lost 4 stone,weight decreased
"?@kendallmarieem: i'm sleepless, you've got me wide awake? my song to vyvanse and mdma",sleepless,insomnia
"?@kendallmarieem: i'm sleepless, you've got me wide awake? my song to vyvanse and mdma",awake,insomnia
"fuck paxil. i never want to take this shit again, but every time i try i get ridiculously sick. my life suckssss.",sick,malaise
this seroquel got me sleepy,sleepy,somnolence
"last night, i had a dream that @bromethazine and i were going to have sex, but i was too tired. seroquel is the devil.",tired,fatigue
"young nigga just gave me a 70mg vyvanse, these things can twerk me out thank goodness for my script of xanax",twerk me out,feeling abnormal
it can get really cold when you have a halls lozenge,cold,feeling cold
this seroquel-dry-mouth thing is getting weird,dry-mouth,dry mouth
i used to be on paxil but that made me more depressed and prozac made me angry,depressed,depression
i used to be on paxil but that made me more depressed and prozac made me angry,depressed,depressed mood
i used to be on paxil but that made me more depressed and prozac made me angry,angry,anger
fucking nicotine driving my fucking mind up the fucking wall. i feel like kathy bates,driving my fucking mind up the fucking wall,mental disorder
"#seb2013 fluoxetine - prosac - reduces anxiety in humans, but it also reduces libido and causes lethargy",lethargy,lethargy
"#seb2013 fluoxetine - prosac - reduces anxiety in humans, but it also reduces libido and causes lethargy",reduces libido,loss of libido
"rt @vyvanseswag: vyvanse, commonly known as ocd in a pill.",ocd,obsessive-compulsive disorder
i hate my new medication. it makes me feel hungry :-( #quetiapine,hungry,hunger
"@beckysrecovery i have been on amisulpride but only for a few days, i could not tolerate nausea and akathisia, olanzapine i can cope with",nausea,nausea
"@beckysrecovery i have been on amisulpride but only for a few days, i could not tolerate nausea and akathisia, olanzapine i can cope with",akathisia,akathisia
does fluoxetine (anti-depressant) make you gain weight? id rather be sad then be fat :c,gain weight,weight increased
@kirkby007 #hcsm i start #chemo on tues b/c of #humira so i know.  it helped but it then destroyed my lungs.,destroyed my lungs,lung disorder
@kirkby007 #hcsm i start #chemo on tues b/c of #humira so i know.  it helped but it then destroyed my lungs.,chemo,chemotherapy
i haven't slept in 2 days due to #vyvanse,haven't slept,insomnia
"since quetiapine's messed with my prolactin levels, making my boobs humungous &amp; my bras so expensive, i want a lingerie component to dla.",boobs humungous,breast enlargement
"since quetiapine's messed with my prolactin levels, making my boobs humungous &amp; my bras so expensive, i want a lingerie component to dla.",prolactin,blood prolactin increased
oops meant to say janice ian. that's why my doctor took me off seroquel... because it makes me retarded.,retarded,mental impairment
thank god for vyvanse #addicted,addicted,drug dependence
"does anyone on #tysabri get flu iike symptoms, aches and pains, shivers a sweats i seem to get it about a week or so after i've had infusion",flu iike symptoms,influenza like illness
"does anyone on #tysabri get flu iike symptoms, aches and pains, shivers a sweats i seem to get it about a week or so after i've had infusion",sweats,hyperhidrosis
"does anyone on #tysabri get flu iike symptoms, aches and pains, shivers a sweats i seem to get it about a week or so after i've had infusion",shivers,chills
"does anyone on #tysabri get flu iike symptoms, aches and pains, shivers a sweats i seem to get it about a week or so after i've had infusion",aches and pains,pain
"@adandelionmind i had itchy skin at night on venlafaxine, i react badly to insect bites too.",itchy skin ,pruritus
"@psychcentral olanzapine made me gain 20 lbs in a few months, plus it gave me bad acne breakouts. had to beg my old shrink to take me off it",gain 20 lbs,weight increased
"@psychcentral olanzapine made me gain 20 lbs in a few months, plus it gave me bad acne breakouts. had to beg my old shrink to take me off it",acne,acne
"@ciproispoison ironically, the pulmonologist i work with told me about his own devastating bout with 'tendonitis' after cipro",tendonitis,tendonitis
@baybeecarrot  trazodone but you might have troubles waking up in the morning. 1/2 tablet is enough for a night i could give you 10 for 10$?,troubles waking up,somnolence
@rachaelherron @marrije i haaaated trazodone. don't be afraid to ask doc for something else if side effects continue. gave me migraines.,migraines,migraine
@lulubot75 the shaking is a common side effect of effexor,shaking,tremor
# when i take my vyvanse  i don't eat!,don't eat,decreased appetite
@amyelle11 i was on venlafaxine after the citalopram but it messed up my sleep :(,messed up my sleep,sleep disorder
?@brycesheppard21: popped a vyvanse im sweatin?#schoollife,sweatin,hyperhidrosis
"@trainingwithra  nope, was on #enbrel 5yrs &amp; had to get off due to unrelenting flare. been on #humira since dec 2012. #rheum",flare,rheumatoid arthritis
day 4: the initial lamotrigine lethargy kicked in the day before exams. i tell myself that possible failure is better than possible death.,lethargy,lethargy
rt @indigo_rosie: my medication gives me weird &amp; bizarre dreams. not all bad though. last night i had dinner with the rolling stones #cipro?,weird &amp; bizarre dreams,abnormal dreams
i can't stop yawning #trazodone,yawning,yawning
i'm feeling extra ocd right now. like chill out melissa. my vyvanse has me wired or something....,ocd,obsessive-compulsive disorder
i'm feeling extra ocd right now. like chill out melissa. my vyvanse has me wired or something....,wired,agitation
"@twistedwillow @samambreen apologies if gatecrashing. i was like walking dead when first started venlafaxine, much better now dose stable",walking dead,feeling abnormal
vyvanse was like aderall and crack i got ten minutes of sleep pearl,got ten minutes of sleep,insomnia
i wonder if olanzapine causes restless legs &lt;_&lt;,restless legs,restless legs syndrome
@katie_woodman fingers crossed i have been taken off tysabri because my body is resisting it ha typical hope you are doing ok :),resisting it,tachyphylaxis
@lilythepurr i've had too much quetiapine today - i'm zombified.,zombified,feeling abnormal
"when on high dose of seroquel, alcoholism was at it's worst and cravings constant and intense. now off seroquel, cravings occasional.",cravings ,food craving
"when on high dose of seroquel, alcoholism was at it's worst and cravings constant and intense. now off seroquel, cravings occasional.",alcoholism,alcoholism
the pathway of cipro is definitely murdering my mind right now ? #donedonedone,murdering my mind,mental impairment
i've been sleeping most of my day away thanks to my humira shot. some days i feel like just giving up. #sick&amp;tired,sleeping,somnolence
would like less vyvanse and more sleep in my life,sleep,insomnia
"@cutefont i essentially felt nothing on them. great for anxiety, bad for living. coming off klonopin and paxil was hell though.",coming off klonopin and paxil was hell,drug withdrawal syndrome
"@cutefont i essentially felt nothing on them. great for anxiety, bad for living. coming off klonopin and paxil was hell though.",felt nothing,emotional poverty
@lotsospermies well i?m taking it with a mood stabilizer (lamictal). i can?t take anti-depressants by themselves-triggers my rapid cycling,triggers my rapid cycling,bipolar i disorder
"damn i need to sleep,  fucken vyvanse",need to sleep,insomnia
@bmccarthy32 glad to here it's keppra over the others. lamictal made me a zombie. first seizure is a bitch eh?,zombie,feeling abnormal
horrendous venlafaxine dream. indecently assaulted by rose west and myra hindley.,horrendous venlafaxine dream,nightmare
1/2 vitamin d malsorption and damaged photosynthesis of sun shine in to vitamin d from levaquin toxicity leading to calcium problems.,vitamin d malsorption,vitamin d deficiency
1/2 vitamin d malsorption and damaged photosynthesis of sun shine in to vitamin d from levaquin toxicity leading to calcium problems.,calcium problems,calcium deficiency
@loveusnotdrugus many congratualtions for being able to come off quetiapine - i have read that and clozapine are the worst for withdrawals,withdrawals,withdrawal syndrome
"going off of olanzapine is no picnic.  you have to be prepared to ask the aid of the gods, jesus, krishna.",going off of olanzapine is no picnic,withdrawal syndrome
"@mycuriousmind not sure. i took it with venlafaxine mostly, and think it was that which made me very tired",tired,fatigue
whenever i drink and im on prozac i always feel a little bit sick and twice as drunk as i usually would,twice as drunk,alcohol intolerance
whenever i drink and im on prozac i always feel a little bit sick and twice as drunk as i usually would,sick,malaise
i'm having the worst withdrawals from my paroxetine. is this real life?,withdrawals,withdrawal syndrome
"almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",hurt,pain
"almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",blew out my arms,limb injury
"almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",heels,pain in extremity
"almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",pain,pain
"rp mcmurphy was right about the trazodone being my new favorite bed-buddy. rip, melatonin dreams. you were getting too weird - even for me.",dreams,abnormal dreams
rt @sueereid: vyvanse makes me think too much ?,think too much ,tachyphrenia
it's not even 11pm and i'm already feeling the venlafaxine withdrawal. stupid bitch. how hard is it to pack the bloody tablets?!,withdrawal,withdrawal syndrome
"i have been on seroquel (quetiapine) for so long i don't even know what the side-effects are! although, i think overheating is definitely 1.",overheating,body temperature increased
@dougbremner i wish i'd have found your article sooner! i was crippled by cipro in oct of '09. prescribed for a uti &amp; it didn't even help.,crippled,gait inability
@sam_dietrich just had the viibryd vision shake thing again very cool,vision shake,oscillopsia
"wow, the rls is out of control tonight #notfun does anyone out there taking seroquel have issues with restless leg syndrome?",restless leg syndrome,restless legs syndrome
"wow, the rls is out of control tonight #notfun does anyone out there taking seroquel have issues with restless leg syndrome?",rls,restless legs syndrome
03.25 day 13 rivaroxaban diary. neck ache and right shoulder ache. lower back pain.,shoulder ache,arthralgia
03.25 day 13 rivaroxaban diary. neck ache and right shoulder ache. lower back pain.,back pain,back pain
03.25 day 13 rivaroxaban diary. neck ache and right shoulder ache. lower back pain.,neck ache,neck pain
@obsidianvormund was on seroquel for years in my teens &amp; stopped taking it. a 'quack' doc put me back on it &amp; i gained 50 in 3 months.,gained 50,weight increased
"kinda worried about the nighttime jaw clenching from effexor, what with my tongue ring and all... :l",jaw clenching,bruxism
rt @ocserena: @drdrewhowlong does paxil withdrawal take! extremely emotional:( switched to wellbutrin. wanna crawl in a hole.,withdrawal,withdrawal syndrome
rt @ocserena: @drdrewhowlong does paxil withdrawal take! extremely emotional:( switched to wellbutrin. wanna crawl in a hole.,crawl in a hole,depression
rt @ocserena: @drdrewhowlong does paxil withdrawal take! extremely emotional:( switched to wellbutrin. wanna crawl in a hole.,emotional,affect lability
"but still dr. maria jasinskas was right &amp; would have been if not for pharmacy; she said, ""you know sometimes vyvanse can make you depressed""",depressed,depression
from jessica i have recently changed anti-depressants from cymbalta to zoloft...does anyone else get daily migraines from taking zoloft?,migraines,migraine
its your third visit in 2 weeks for priapism and you're still taking trazodone @erproblem,priapism,priapism
"@remiamaka it wasn't an easy victory though. felt like chemo with the cipro. as for the heart, i meant for study purposes.",felt like chemo,burning sensation
i need to start taking my viibryd again but it makes me feel so nauseous ughhh,nauseous,nausea
"@kniterrupted i think it?s an snri, i?m not even sure. it?s viibryd. but none of my anti-depressants have ever messed me up like this before",messed me up,malaise
"@abianne the effexor may have been pushing me toward hypomania, so we are trying just an ssri, then see if a mood stabilizer is needed.",hypomania,hypomania
"racing next sun so thought i'd better try on my tri suit. so depressing, can just about get into it and look like a whale ffs!! #olanzapine",look like a whale,weight increased
"had 2 quit job: tendons in lots of pain,  almost ruptured, hands barely usable now. damned cipro.",hands barely usable,limb injury
"had 2 quit job: tendons in lots of pain,  almost ruptured, hands barely usable now. damned cipro.", tendons in lots of pain,tendon pain
how do guys ejaculate on paxil?? #antidepressants,ejaculate,anorgasmia
time to get off paxil.  it's really really been terrifying lately.,terrifying,malaise
"although my bitching about being fat did look a but comical next to my brother, with his olanzapine induced weight gain.",weight gain,weight increased
so much for no nicotine withdrawal. think i've about pissed everyone off this week. #needacigarette,withdrawal,withdrawal syndrome
this quetiapine isn't working damnit!!!! does make me hungry at night though... *sigh*,hungry,hunger
"@fell2earth yeah, i'm ok. that was weird. might've been meds. got a new batch yesterday. i'm remembering the effexor xr making me sick once.",sick,malaise
humira why you burn my veins,burn my veins,burning sensation
@crohniecharlie #humira helped my #crohns but then #respiratory issues ensued &amp; now i can't take anything &amp; have major lung issues,respiratory issues,respiratory disorder
@crohniecharlie #humira helped my #crohns but then #respiratory issues ensued &amp; now i can't take anything &amp; have major lung issues,lung issues,lung disorder
gonna have to speak with my psychiatrist about stopping my olanzapine its interfering with my visions and it gives you memory loss and more.,interfering with my visions,visual impairment
gonna have to speak with my psychiatrist about stopping my olanzapine its interfering with my visions and it gives you memory loss and more.,memory loss,amnesia
"although taking it now would run counter to my current ""food  seroquel = rls"" philosophy",rls,restless legs syndrome
"i might have gained 30 lbs in 6 weeks on zyprexa...haven't lost that weight yet, and it's been 12 years now. call doc if it happens to you.",gained 30 lbs,weight increased
"@_katball natural don't work for me, try 300mg of seroquel...you'll sleep for days, i have insomnia that's what they give me lol",sleep for days,hypersomnia
"@_katball natural don't work for me, try 300mg of seroquel...you'll sleep for days, i have insomnia that's what they give me lol",sleep for days,somnolence
sent my lovely compandre to fuel my nicotine addiction,addiction,dependence
i think my tablets have made me gain weight. anyone on fluoxetine/prozac? #replytweet,gain weight,weight increased
"this lamictal shit ain't cuttin the mustard; any ""mood stabilizers"" that don't steal your soul &amp; make u a bloated zombie a la britney?",steal your soul,feeling abnormal
"this lamictal shit ain't cuttin the mustard; any ""mood stabilizers"" that don't steal your soul &amp; make u a bloated zombie a la britney?",bloated,abdominal distension
"this lamictal shit ain't cuttin the mustard; any ""mood stabilizers"" that don't steal your soul &amp; make u a bloated zombie a la britney?",zombie,feeling abnormal
i swear thia cymbalta is causing me to have horrible nightmares!,nightmares,nightmare
"effexor dreams, now with lucidity. i grant the power of flight?",lucidity,abnormal dreams
@ikimlowe my son has been on lamictal for 3 yrs n broke out in a rash when he 1st was put on it. luckily after going to er it was not the sj,rash,rash
@cocayne18 stopped working.  i don't think their meant to last forever but again it depends on the person.  i took enbrel when i was on my,stopped working,tachyphylaxis
guess what? still feeling weird. fuck you quetiapine. fuck you.,feeling weird,feeling abnormal
"@lithiumlibgirl i can relate to the olanzapine lbs, but you'll be great!",olanzapine lbs,weight increased
nicotine withdrawals #2daysdown #forevertogo #headache #irritable #toomanyhashtags #makeitstop,withdrawals,withdrawal syndrome
nicotine withdrawals #2daysdown #forevertogo #headache #irritable #toomanyhashtags #makeitstop,irritable,irritability
nicotine withdrawals #2daysdown #forevertogo #headache #irritable #toomanyhashtags #makeitstop,headache,headache
".@tootingrebecca at last, a good side effect. couldn't go back on seroquel due to diabetes risk.",diabetes risk,diabetes mellitus
so apparently 60mgs of prozac will make you scared of eating gmo's and make you think you need to save the world! switching back to 40mgs!!!,need to save the world,delusion
so apparently 60mgs of prozac will make you scared of eating gmo's and make you think you need to save the world! switching back to 40mgs!!!,scared,fear
my sleep schedule is all fucked up and pristiq is making me gain weight and i don't like this,gain weight,weight increased
my sleep schedule is all fucked up and pristiq is making me gain weight and i don't like this,sleep,sleep disorder
"seroquel is causing more gaps in memory, i don't remember going to therapy and as usual no one has stepped up to claim thos memories &gt;&gt;",gaps in memory,memory impairment
does trazodone actually make people feel like high omfg it makes me sleepy,sleepy,somnolence
"finally got my vyvanse today, now i can go back to hating food . ha",hating food,food aversion
"@sectioned_ @bipolarlife7 @bbcwomanshour ah yes, i'm starting to think my paroxetine turns panic attacks into fat.",fat.,weight increased
why do i always get the seroquel munchies!?,munchies,hunger
@jamieab1 trazodone made me extremely angry and i was wide awake all the time,angry,anger
@jamieab1 trazodone made me extremely angry and i was wide awake all the time,awake,insomnia
@ysabel_03 @bofier try something like wellbutrin - there are many better than zoloft (zombie-loft) and paxil for anxiety imo,zombie,feeling abnormal
@drdrewhln @drdrew #zimmerman was removed from vyvanse for mood swings before he was put on adderall see med report: http://t.co/g5dxrjkpr5,mood swings,mood swings
@jameetmiller i didn't have side effects when i started taking cymbalta. after about 6 mths had to stop because it raised my blood pressure.,raised my blood pressure,blood pressure increased
"02.20 day 19 rivaroxaban diary woken up with pains in head, neck, back, hip and legs. seeing doc in 7 hours. no way am i continuin with rvxn",pains in head,headache
"02.20 day 19 rivaroxaban diary woken up with pains in head, neck, back, hip and legs. seeing doc in 7 hours. no way am i continuin with rvxn",back,back pain
"02.20 day 19 rivaroxaban diary woken up with pains in head, neck, back, hip and legs. seeing doc in 7 hours. no way am i continuin with rvxn",hip,arthralgia
"02.20 day 19 rivaroxaban diary woken up with pains in head, neck, back, hip and legs. seeing doc in 7 hours. no way am i continuin with rvxn",neck,neck pain
"02.20 day 19 rivaroxaban diary woken up with pains in head, neck, back, hip and legs. seeing doc in 7 hours. no way am i continuin with rvxn",legs,pain in extremity
quetiapine side affects are increased appetite and cravings. it all makes sense. ??????,cravings,food craving
quetiapine side affects are increased appetite and cravings. it all makes sense. ??????,increased appetite,increased appetite
cymbalta withdrawals. need to get script. head is spinning. blood pressure low.  i hate depending on drugs to live.,head is spinning,vertigo
cymbalta withdrawals. need to get script. head is spinning. blood pressure low.  i hate depending on drugs to live.,blood pressure low,hypotension
cymbalta withdrawals. need to get script. head is spinning. blood pressure low.  i hate depending on drugs to live.,withdrawals,withdrawal syndrome
03.00 day 19 rivaroxaban diary. just taken 2 paracetamol. probabably will take 70 minutes to work. a long painful night ahead.,painful,pain
"@bipolarblogger yeah,  generic venlafaxine has about four different slow release formulations,  i got withdrawals from some.",withdrawals,withdrawal syndrome
"every day i take a vyvanse, i sleep less the next night.",sleep less,insomnia
@jephjacques i hated being on paxil for that reason. way to make you *more* depressed. x.x,depressed,depression
"oh hey. much like other anti-convulsants, lamictal dehydrates you. so much is explained.",dehydrates,dehydration
stopped #seroquel for 2 months as it caused terrible side effect. had to start back up or lose my job #hotflashes r soooo fun #thisismylife,hotflashes,hot flush
@joanne__howe i'm good been on 25mg mtx for years then switched to leflunomide back mtx the other caused tummy trouble. why r u off enbrel,tummy trouble,abdominal pain
"eurgh! last time i was this tired, i was on a four day antidepressant cocktail binge.  #seroxat #sertraline #fluoxitine #lithium",tired,fatigue
@danietreg oh yep! the only trouble with seroquel for me is i don't want to get up in the morning. i've always been an early riser.,don't want to get up,somnolence
thank god i was born with so much hair; i wouldn't been balm by now. #crohnsproblems #teamibd #hairloss #humira #chronic #illness #gratitude,hairloss,alopecia
thank god i was born with so much hair; i wouldn't been balm by now. #crohnsproblems #teamibd #hairloss #humira #chronic #illness #gratitude,balm,alopecia
this new baccy is just making my cough so much worse but ahhh well need my nicotine,cough,cough
"@jessbarrett227 taking someone off 150mg off seroquel, mixing it with olanzapine in 2 wks causes psychosis - a proper assess was not done.",psychosis,psychotic disorder
"u wailed all night; now y'r disembodied sobbing all damn'd day, ghost? ? effexor-xr?discontinuation syndrome ain't exactly heaven, angel",discontinuation syndrome,withdrawal syndrome
"u wailed all night; now y'r disembodied sobbing all damn'd day, ghost? ? effexor-xr?discontinuation syndrome ain't exactly heaven, angel",wailed,crying
"u wailed all night; now y'r disembodied sobbing all damn'd day, ghost? ? effexor-xr?discontinuation syndrome ain't exactly heaven, angel",sobbing,crying
the seroquel is definitely causing this restlessness i'm experiencing #jitters,jitters,feeling jittery
the seroquel is definitely causing this restlessness i'm experiencing #jitters,restlessness,restlessness
why not to take vyvanse late in the day: i just cleaned my entire kitchen. it's 3am. #addproblems @vyvanseswag,3am,insomnia
why not to take vyvanse late in the day: i just cleaned my entire kitchen. it's 3am. #addproblems @vyvanseswag,cleaned my entire kitchen,compulsions
@jamesaengland i might go back on the venlafaxine &amp; give it another chance but it was wrecking my sleep :( x,wrecking my sleep,sleep disorder
"@preciousthing i just had a look buddy, and my medication (seroquel) does affect tolerance to the sun.",tolerance to the sun,photosensitivity reaction
bought ourselves an electronic cigarette for fun and now i think we're addicted to nicotine ???,addicted,drug dependence
"@leigh_clay i feel for you, i had the sane experience of disturbed sleep &amp; bad dreams on venlafaxine xx",disturbed sleep,sleep disorder
"@leigh_clay i feel for you, i had the sane experience of disturbed sleep &amp; bad dreams on venlafaxine xx",bad dreams,nightmare
does anyone happen to know if lamictal causes you to feel hot? @liberonetwork @_sabiiiiii #cantstopsweating,sweating,hyperhidrosis
does anyone happen to know if lamictal causes you to feel hot? @liberonetwork @_sabiiiiii #cantstopsweating,feel hot,feeling hot
@rowlegendary r u on any meds? my dreams on seroquel are fucked up,dreams,abnormal dreams
hate that i've been off #cymbalta for ages now and my appetite is still terrible. the worst part? i can't bear meat or chocolate :'(,appetite is still terrible,decreased appetite
i resent taking olanzapine as it is the side effects of olanzapine that were mistaken for negative symptoms of schizophrenia,symptoms of schizophrenia,mental impairment
"@pete__bull elderly, diabetic on olanzapine= raging bm's, mood swings and weight gain...cons may outweigh the pros..",raging bm's,diarrhoea
"@pete__bull elderly, diabetic on olanzapine= raging bm's, mood swings and weight gain...cons may outweigh the pros..",weight gain,weight increased
"@pete__bull elderly, diabetic on olanzapine= raging bm's, mood swings and weight gain...cons may outweigh the pros..",mood swings,mood swings
"@nichole_lindsey i've had cipro before. luckily for me, the only side fx i tend to get from ab is gastic upset. but i rarely use ab.",gastic upset,abdominal discomfort
god humira shots blow so bad... #painful #crohnssucks,painful,pain
rt @uffelanie: just wondering where the side effect of hating the world is stated on vyvanse advertisements?,hating the world,irritability
okay i took the seroquel and i am resisting the urge to vomit it up i feel disgusting but oh well good times good vibes don't be sad,urge to vomit,vomiting
okay i took the seroquel and i am resisting the urge to vomit it up i feel disgusting but oh well good times good vibes don't be sad,feel disgusting,nausea
why does tapering down lamotrigine feel as yucky as stepping it up? #soreashell,yucky,malaise
"@neph0079@positiveaboutms i take baclofen ""can't sleep! want to sleep!"" help!",can't sleep,insomnia
i think baclofen might make me a bigger asshole than usual. :/,make me a bigger asshole,personality change
"down to just one tiny dose of effexor each night now. today wasnt too bad in terms of anxiety &amp; depression, but irritability? woosh!! way up",irritability,irritability
"@foggymelon @movmctov @the_scottymomma when i did humira for my crohn's it felt like acid, hubby had to shoot me up. made my lupus flare too",lupus flare,systemic lupus erythematosus
"@foggymelon @movmctov @the_scottymomma when i did humira for my crohn's it felt like acid, hubby had to shoot me up. made my lupus flare too",felt like acid,burning sensation
@criminalbanjo dude i feel physically and mentally drained.. thats the paxil i wanted hard at work,mentally drained,mental fatigue
@criminalbanjo dude i feel physically and mentally drained.. thats the paxil i wanted hard at work,physically,fatigue
"rt @vyvanseswag: vyvanse, commonly known as ocd in a pill.",ocd,obsessive-compulsive disorder
"fuck you, effexor. dilated pupils and blurry vision and nausea and headaches? this is awful!",nausea,nausea
"fuck you, effexor. dilated pupils and blurry vision and nausea and headaches? this is awful!",dilated pupils,mydriasis
"fuck you, effexor. dilated pupils and blurry vision and nausea and headaches? this is awful!",blurry vision,vision blurred
"fuck you, effexor. dilated pupils and blurry vision and nausea and headaches? this is awful!",headaches,headache
i have a lozenge i cant feel my throat,cant feel my throat,pharyngeal hypoaesthesia
@broahegan it's my nicotine withdrawls, withdrawls,withdrawal syndrome
"the most upsetting thing about silver linings playbook, is how bradley cooper can take seroquel and still stay in shape.",stay in shape,laziness
3 weeks sober today. have had cravings but no where near as intense as when i was on antipsychotic seroquel. convinced of connection.,cravings,food craving
day 2 without nicotine: fuck sleep would be nice. so would a dip.......,sleep,insomnia
allergic reaction to #lamotrigine. feel free to share &amp; distribute. kill #bigpharma before it kills us. http://t.co/mfrgr3tenj,allergic reaction,hypersensitivity
@feltfedora &lt; i was on lamictal for a while (for other reasons) but i had to stop due to an allergic reaction.,allergic reaction,hypersensitivity
