term_PT,term_HLT,term_HLGT,term_SOC
intestinal polypectomy,gastrointestinal therapeutic procedures nec,gastrointestinal therapeutic procedures,surgical and medical procedures
cardiac ventricular thrombosis,cardiac disorders nec,"cardiac disorders, signs and symptoms nec",cardiac disorders
congenital condyloma,viral infections congenital,infections and infestations congenital,"congenital, familial and genetic disorders"
exposure via body fluid,pathways and sources of exposure,"exposures, chemical injuries and poisoning","injury, poisoning and procedural complications"
paronychia,skin structures and soft tissue infections,infections - pathogen unspecified,infections and infestations
catheter site macule,implant and catheter site reactions,administration site reactions,general disorders and administration site conditions
progesterone receptor assay,cell marker analyses,cytogenetic investigations,investigations
dialysis amyloidosis,amyloidoses,immune disorders nec,immune system disorders
familial gigantiform cementoma,musculoskeletal and connective tissue disorders of skull congenital,musculoskeletal and connective tissue disorders congenital,"congenital, familial and genetic disorders"
hoigne's syndrome,non-site specific procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
astrocytoma surgery,nervous system therapeutic procedures nec,"nervous system, skull and spine therapeutic procedures",surgical and medical procedures
maximum heart rate decreased,heart rate and pulse investigations,cardiac and vascular investigations (excl enzyme tests),investigations
neurological complication associated with device,complications associated with device nec,complications associated with device,general disorders and administration site conditions
retinal coloboma,retinal disorders congenital,eye disorders congenital,"congenital, familial and genetic disorders"
renal aneurysm,renal vascular and ischaemic conditions,renal disorders (excl nephropathies),renal and urinary disorders
ocular sarcoidosis,"ocular infections, inflammations and associated manifestations","ocular infections, irritations and inflammations",eye disorders
tooth discolouration,dental surface disorders,dental and gingival conditions,gastrointestinal disorders
pharyngeal chlamydia infection,chlamydial infections,chlamydial infectious disorders,infections and infestations
vascular resistance systemic decreased,vascular tests nec (incl blood pressure),cardiac and vascular investigations (excl enzyme tests),investigations
sarcoma excision,therapeutic procedures nec,therapeutic procedures and supportive care nec,surgical and medical procedures
cheyne-stokes respiration,breathing abnormalities,respiratory disorders nec,"respiratory, thoracic and mediastinal disorders"
knee deformity,extremity deformities,musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),musculoskeletal and connective tissue disorders
gastroenteritis enteroviral,enteroviral infections nec,viral infectious disorders,infections and infestations
renal vasculitis,renal vascular and ischaemic conditions,renal disorders (excl nephropathies),renal and urinary disorders
vulvovaginal candidiasis,candida infections,fungal infectious disorders,infections and infestations
anti-muellerian hormone level decreased,reproductive hormone analyses,endocrine investigations (incl sex hormones),investigations
dihydrotestosterone level,reproductive hormone analyses,endocrine investigations (incl sex hormones),investigations
type ii hypersensitivity,allergic conditions nec,allergic conditions,immune system disorders
drug-device incompatibility,device incompatibility issues,device issues,product issues
chemotherapeutic drug level above therapeutic,therapeutic drug monitoring analyses,toxicology and therapeutic drug monitoring,investigations
lip infection,dental and oral soft tissue infections,infections - pathogen unspecified,infections and infestations
vaccination site scar,vaccination site reactions,administration site reactions,general disorders and administration site conditions
wolf-hirschhorn syndrome,autosomal chromosomal abnormalities,"chromosomal abnormalities, gene alterations and gene variants","congenital, familial and genetic disorders"
apical granuloma,dental and periodontal infections and inflammations,dental and gingival conditions,gastrointestinal disorders
interferon beta level decreased,immune response protein analyses nec,immunology and allergy investigations,investigations
gastrointestinal polyp,benign neoplasms gastrointestinal (excl oral cavity),benign neoplasms gastrointestinal,gastrointestinal disorders
hepatitis b core antigen,virus identification and serology,microbiology and serology investigations,investigations
block dissection groin,abdominal therapeutic procedures nec,gastrointestinal therapeutic procedures,surgical and medical procedures
biliary colic,bile duct infections and inflammations,bile duct disorders,hepatobiliary disorders
phelan-mcdermid syndrome,musculoskeletal disorders congenital nec,musculoskeletal and connective tissue disorders congenital,"congenital, familial and genetic disorders"
revascularisation procedure,vascular therapeutic procedures nec,vascular therapeutic procedures,surgical and medical procedures
cataplexy,narcolepsy and hypersomnia,sleep disturbances (incl subtypes),nervous system disorders
primary hypogonadism,endocrine abnormalities of gonadal function nec,endocrine disorders of gonadal function,endocrine disorders
tongue spasm,tongue signs and symptoms,tongue conditions,gastrointestinal disorders
adult t-cell lymphoma/leukaemia recurrent,adult t-cell lymphomas/leukaemias,lymphomas non-hodgkin's t-cell,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
cardiovascular function test abnormal,cardiac function diagnostic procedures,cardiac and vascular investigations (excl enzyme tests),investigations
herpes zoster immunisation,immunisations,therapeutic procedures and supportive care nec,surgical and medical procedures
oesophageal dilation procedure,oesophageal therapeutic procedures,gastrointestinal therapeutic procedures,surgical and medical procedures
venous oxygen saturation,blood gas and acid base analyses,"metabolic, nutritional and blood gas investigations",investigations
chordoma,bone neoplasms unspecified malignancy,skeletal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
abdominoplasty,abdominal therapeutic procedures nec,gastrointestinal therapeutic procedures,surgical and medical procedures
vomiting,nausea and vomiting symptoms,gastrointestinal signs and symptoms,gastrointestinal disorders
hirsutism,hypertrichoses,skin appendage conditions,skin and subcutaneous tissue disorders
hypotonia-cystinuria syndrome,inborn errors of amino acid metabolism,metabolic and nutritional disorders congenital,"congenital, familial and genetic disorders"
papular pruritic eruption of hiv,retroviral infections,viral infectious disorders,infections and infestations
lordosis,spine and neck deformities,musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),musculoskeletal and connective tissue disorders
"fissure of tongue, congenital",tongue disorders congenital,gastrointestinal tract disorders congenital,"congenital, familial and genetic disorders"
splenic artery embolisation,arterial therapeutic procedures (excl aortic),vascular therapeutic procedures,surgical and medical procedures
medical device site necrosis,complications associated with device nec,complications associated with device,general disorders and administration site conditions
pudendal nerve terminal motor latency test,neurologic diagnostic procedures,"neurological, special senses and psychiatric investigations",investigations
nerve root injury,nerve injuries nec,injuries nec,"injury, poisoning and procedural complications"
swelling,general signs and symptoms nec,general system disorders nec,general disorders and administration site conditions
empedobacter brevis infection,bacterial infections nec,bacterial infectious disorders,infections and infestations
iridotomy,iris and ciliary body therapeutic procedures,eye therapeutic procedures,surgical and medical procedures
bladder diverticulitis,urinary tract infections,infections - pathogen unspecified,infections and infestations
mean platelet volume decreased,platelet analyses,haematology investigations (incl blood groups),investigations
arthrodesis,joint therapeutic procedures,bone and joint therapeutic procedures,surgical and medical procedures
capillary fragility decreased,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
hemihyperaesthesia,paraesthesias and dysaesthesias,neurological disorders nec,nervous system disorders
spinal cord neoplasm,nervous system neoplasms unspecified malignancy nec,nervous system neoplasms malignant and unspecified nec,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
hyperplasia of thymic epithelium,thymus disorders,"spleen, lymphatic and reticuloendothelial system disorders",blood and lymphatic system disorders
platelet production decreased,thrombocytopenias,platelet disorders,blood and lymphatic system disorders
hypotelorism of orbit,"musculoskeletal and connective tissue disorders of face, neck and jaw congenital",musculoskeletal and connective tissue disorders congenital,"congenital, familial and genetic disorders"
bladder obstruction,bladder disorders nec,bladder and bladder neck disorders (excl calculi),renal and urinary disorders
calculus urethral,urinary tract lithiasis (excl renal),urolithiases,renal and urinary disorders
bone marrow myelogram,bone marrow and immune tissue imaging procedures,haematology investigations (incl blood groups),investigations
urethral perforation,urethral disorders nec,urethral disorders (excl calculi),renal and urinary disorders
oropharyngeal cobble stone mucosa,upper respiratory tract signs and symptoms,respiratory tract signs and symptoms,"respiratory, thoracic and mediastinal disorders"
adamts13 activity abnormal,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
status epilepticus,seizures and seizure disorders nec,seizures (incl subtypes),nervous system disorders
presenile dementia,alzheimer's disease (incl subtypes),mental impairment disorders,nervous system disorders
blood cyanide increased,mineral and electrolyte analyses,"water, electrolyte and mineral investigations",investigations
hypokinesia neonatal,dyskinesias and movement disorders nec,movement disorders (incl parkinsonism),nervous system disorders
oxygen saturation decreased,blood gas and acid base analyses,"metabolic, nutritional and blood gas investigations",investigations
toothache,dental pain and sensation disorders,dental and gingival conditions,gastrointestinal disorders
atypical mycobacterial infection,atypical mycobacterial infections,mycobacterial infectious disorders,infections and infestations
dental operation,dental and gingival therapeutic procedures,head and neck therapeutic procedures,surgical and medical procedures
smear site unspecified normal,histopathology procedures nec,"investigations, imaging and histopathology procedures nec",investigations
granulocyte percentage,white blood cell analyses,haematology investigations (incl blood groups),investigations
wound evisceration,gastrointestinal and hepatobiliary procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
tilt table test positive,cardiac function diagnostic procedures,cardiac and vascular investigations (excl enzyme tests),investigations
bladder catheterisation,therapeutic bladder catheterisation,renal and urinary tract therapeutic procedures,surgical and medical procedures
subretinal fibrosis,"retinal structural change, deposit and degeneration","ocular structural change, deposit and degeneration nec",eye disorders
ovarian germ cell choriocarcinoma stage iii,ovarian germ cell neoplasms malignant,reproductive neoplasms female malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
cyclic vomiting syndrome,nausea and vomiting symptoms,gastrointestinal signs and symptoms,gastrointestinal disorders
glucosylsphingosine abnormal,lysosomal enzyme analyses,enzyme investigations nec,investigations
prostatic varices,"prostatic signs, symptoms and disorders nec",prostatic disorders (excl infections and inflammations),reproductive system and breast disorders
cyanosis central,conditions associated with abnormal gas exchange,respiratory disorders nec,"respiratory, thoracic and mediastinal disorders"
thyroid gland injury,site specific injuries nec,injuries nec,"injury, poisoning and procedural complications"
hypermethioninaemia,inborn errors of amino acid metabolism,metabolic and nutritional disorders congenital,"congenital, familial and genetic disorders"
graft thrombosis,transplantation complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
postictal depression,depressive disorders,depressed mood disorders and disturbances,psychiatric disorders
biliary dyspepsia,hepatobiliary signs and symptoms,hepatic and hepatobiliary disorders,hepatobiliary disorders
peritonsillar abscess,upper respiratory tract infections,infections - pathogen unspecified,infections and infestations
skin degenerative disorder,dermal and epidermal conditions nec,epidermal and dermal conditions,skin and subcutaneous tissue disorders
amyloidosis,amyloidoses,immune disorders nec,immune system disorders
human antichimeric antibody test,immunology analyses nec,immunology and allergy investigations,investigations
paraneoplastic pemphigus,bullous conditions,epidermal and dermal conditions,skin and subcutaneous tissue disorders
catheter site infection,infections nec,infections - pathogen unspecified,infections and infestations
total lung capacity normal,respiratory and pulmonary function diagnostic procedures,respiratory and pulmonary investigations (excl blood gases),investigations
amino acid level increased,protein analyses nec,protein and chemistry analyses nec,investigations
csf lymphocyte count abnormal,cerebrospinal fluid tests (excl microbiology),"neurological, special senses and psychiatric investigations",investigations
meningitis candida,candida infections,fungal infectious disorders,infections and infestations
device occlusion,device malfunction events nec,device issues,product issues
vascular shunt,peripheral vascular disorders nec,vascular disorders nec,vascular disorders
osteoradionecrosis,radiation injuries,injuries by physical agents,"injury, poisoning and procedural complications"
application site hypersensitivity,application and instillation site reactions,administration site reactions,general disorders and administration site conditions
lecithin-cholesterol acyltransferase activity decreased,lipoprotein and lipid tests nec,lipid analyses,investigations
ulnocarpal abutment syndrome,joint related disorders nec,joint disorders,musculoskeletal and connective tissue disorders
idiopathic condylar resorption,metabolic bone disorders,bone disorders (excl congenital and fractures),musculoskeletal and connective tissue disorders
chronic active epstein-barr virus infection,epstein-barr viral infections,viral infectious disorders,infections and infestations
chemical cystitis,chemical injuries,"exposures, chemical injuries and poisoning","injury, poisoning and procedural complications"
eastern cooperative oncology group performance status improved,physical examination procedures and organ system status,physical examination and organ system status topics,investigations
malignant neoplasm of lacrimal duct,ocular neoplasms malignant (excl melanomas),ocular neoplasms,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
hepatic enzyme,liver function analyses,hepatobiliary investigations,investigations
neutrophil hypersegmented morphology present,white blood cell analyses,haematology investigations (incl blood groups),investigations
scrotal erythema,scrotal disorders nec,penile and scrotal disorders (excl infections and inflammations),reproductive system and breast disorders
neuropsychiatric lupus,nervous system disorders nec,neurological disorders nec,nervous system disorders
inflammatory myofibroblastic tumour,soft tissue neoplasms malignant and unspecified nec (excl sarcomas),soft tissue neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
bundle branch block bilateral,cardiac conduction disorders,cardiac arrhythmias,cardiac disorders
gestational age test normal,foetal and neonatal diagnostic procedures,foetal and neonatal investigations,investigations
hoover's sign of leg paresis,neurologic diagnostic procedures,"neurological, special senses and psychiatric investigations",investigations
renal tubular necrosis,renal vascular and ischaemic conditions,renal disorders (excl nephropathies),renal and urinary disorders
neisseria test,bacteria identification and serology (excl mycobacteria),microbiology and serology investigations,investigations
white nipple sign,gastrointestinal signs and symptoms nec,gastrointestinal signs and symptoms,gastrointestinal disorders
coagulation factor x level increased,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
conductive deafness,hearing losses,hearing disorders,ear and labyrinth disorders
device defective,device physical property and chemical issues,device issues,product issues
vascular encephalopathy,central nervous system vascular disorders nec,central nervous system vascular disorders,nervous system disorders
ischaemia modified albumin elevated,investigations nec,"investigations, imaging and histopathology procedures nec",investigations
ultrasound doppler normal,vascular imaging procedures nec,cardiac and vascular investigations (excl enzyme tests),investigations
familial tremor,non-site specific muscle disorders congenital,musculoskeletal and connective tissue disorders congenital,"congenital, familial and genetic disorders"
viral titre decreased,virus identification and serology,microbiology and serology investigations,investigations
wrong technique in device usage process,"medication errors, product use errors and issues nec",medication errors and other product use errors and issues,"injury, poisoning and procedural complications"
q fever,coxiella infections,rickettsial infectious disorders,infections and infestations
renal scan,urinary tract imaging procedures,renal and urinary tract investigations and urinalyses,investigations
aortic perforation,arterial and aortic injuries,vascular injuries,vascular disorders
factor ix deficiency,coagulation disorders congenital,blood and lymphatic system disorders congenital,"congenital, familial and genetic disorders"
plasminogen activator inhibitor increased,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
haemophilia,coagulation disorders congenital,blood and lymphatic system disorders congenital,"congenital, familial and genetic disorders"
transient global amnesia,memory loss (excl dementia),mental impairment disorders,nervous system disorders
primitive reflex test positive,neurologic diagnostic procedures,"neurological, special senses and psychiatric investigations",investigations
post procedural urine leak,urinary tract procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
pseudoaldosteronism,adrenal cortical hyperfunctions,adrenal gland disorders,endocrine disorders
endocrine hypertension,endocrine and metabolic secondary hypertension,vascular hypertensive disorders,vascular disorders
localised infection,infections nec,infections - pathogen unspecified,infections and infestations
erosive duodenitis,duodenal ulcers and perforation,gastrointestinal ulceration and perforation,gastrointestinal disorders
trachoma,chlamydial infections,chlamydial infectious disorders,infections and infestations
helicobacter test,bacteria identification and serology (excl mycobacteria),microbiology and serology investigations,investigations
ectopic acth syndrome,ectopic endocrine disorders,neoplastic and ectopic endocrinopathies,endocrine disorders
agranulocytosis,neutropenias,white blood cell disorders,blood and lymphatic system disorders
arthritis enteropathic,arthropathies nec,joint disorders,musculoskeletal and connective tissue disorders
otitis externa,ear infections,infections - pathogen unspecified,infections and infestations
noctiphobia,fear symptoms and phobic disorders (incl social phobia),anxiety disorders and symptoms,psychiatric disorders
birdshot chorioretinopathy,"retinal, choroid and vitreous infections and inflammations","ocular infections, irritations and inflammations",eye disorders
poor peripheral circulation,"peripheral vasoconstriction, necrosis and vascular insufficiency","arteriosclerosis, stenosis, vascular insufficiency and necrosis",vascular disorders
product communication issue,product transcribing errors and communication issues,medication errors and other product use errors and issues,"injury, poisoning and procedural complications"
saliva alcohol test,toxicology laboratory analyses,toxicology and therapeutic drug monitoring,investigations
general anaesthesia,anaesthesia and allied procedures,therapeutic procedures and supportive care nec,surgical and medical procedures
mesenteric artery aneurysm,gastrointestinal vascular malformations,gastrointestinal vascular conditions,gastrointestinal disorders
urine viscosity decreased,urinalysis nec,renal and urinary tract investigations and urinalyses,investigations
remnant gastritis,gastrointestinal and hepatobiliary procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
phlebitis superficial,phlebitis nec,vascular infections and inflammations,vascular disorders
pancreatic duct drainage,pancreatic therapeutic procedures,gastrointestinal therapeutic procedures,surgical and medical procedures
keeled chest acquired,trunk deformities,musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),musculoskeletal and connective tissue disorders
manufacturing production issue,manufacturing production issues,"product quality, supply, distribution, manufacturing and quality system issues",product issues
blood corticosterone decreased,adrenal cortex tests,endocrine investigations (incl sex hormones),investigations
aneurysmal bone cyst,bone disorders nec,bone disorders (excl congenital and fractures),musculoskeletal and connective tissue disorders
ophthalmoplegic migraine,headaches nec,headaches,nervous system disorders
saliva analysis normal,gastrointestinal histopathology procedures,gastrointestinal investigations,investigations
ureterocele,ureteric disorders nec,ureteric disorders,renal and urinary disorders
subvalvular aortic stenosis,aortic valvular disorders,cardiac valve disorders,cardiac disorders
myelodysplastic syndrome,myelodysplastic syndromes,leukaemias,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
intestinal resection,gastrointestinal therapeutic procedures nec,gastrointestinal therapeutic procedures,surgical and medical procedures
carbohydrate antigen 125,cell marker analyses,cytogenetic investigations,investigations
supportive care,therapeutic procedures nec,therapeutic procedures and supportive care nec,surgical and medical procedures
dental restoration failure,gastrointestinal and hepatobiliary procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
biopsy parathyroid gland,parathyroid histopathology procedures,endocrine investigations (incl sex hormones),investigations
peritoneal fibrosis,peritoneal and retroperitoneal fibrosis and adhesions,peritoneal and retroperitoneal conditions,gastrointestinal disorders
lipohypertrophy,lipodystrophies,skin and subcutaneous tissue disorders nec,skin and subcutaneous tissue disorders
morton's neuralgia,sensory abnormalities nec,neurological disorders nec,nervous system disorders
pathogen resistance,infections nec,infections - pathogen unspecified,infections and infestations
fascial rupture,"muscle, tendon and ligament injuries",injuries nec,"injury, poisoning and procedural complications"
anorectal varices haemorrhage,haemorrhoids and gastrointestinal varices (excl oesophageal),gastrointestinal vascular conditions,gastrointestinal disorders
protein urine,urinalysis nec,renal and urinary tract investigations and urinalyses,investigations
oral mucosa atrophy,oral soft tissue disorders nec,oral soft tissue conditions,gastrointestinal disorders
electrocardiogram st-t segment depression,ecg investigations,cardiac and vascular investigations (excl enzyme tests),investigations
resorption bone decreased,metabolic bone disorders,bone disorders (excl congenital and fractures),musculoskeletal and connective tissue disorders
pseudohyperkalaemia,potassium imbalance,electrolyte and fluid balance conditions,metabolism and nutrition disorders
chronic lymphocytic leukaemia stage 1,leukaemias chronic lymphocytic,leukaemias,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
peritumoural oedema,oncologic complications and emergencies,neoplasm related morbidities,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
ultrasound antenatal screen abnormal,foetal and neonatal imaging procedures,foetal and neonatal investigations,investigations
cholera immunisation,immunisations,therapeutic procedures and supportive care nec,surgical and medical procedures
catheter site oedema,implant and catheter site reactions,administration site reactions,general disorders and administration site conditions
radiotherapy to ear,"ear, nose and throat radiotherapies",head and neck therapeutic procedures,surgical and medical procedures
fibrous cortical defect,bone neoplasms benign (excl cysts),skeletal neoplasms benign,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
foetal tachyarrhythmia,rate and rhythm disorders nec,cardiac arrhythmias,cardiac disorders
17-hydroxyprogesterone decreased,adrenal cortex tests,endocrine investigations (incl sex hormones),investigations
pelvic discomfort,reproductive tract signs and symptoms nec,reproductive tract disorders nec,reproductive system and breast disorders
blindness traumatic,eye injuries nec,injuries nec,"injury, poisoning and procedural complications"
topical product occlusive therapy,skin and subcutaneous tissue therapeutic procedures nec,skin and subcutaneous tissue therapeutic procedures,surgical and medical procedures
neuritis,peripheral neuropathies nec,peripheral neuropathies,nervous system disorders
prostatitis trichomonal,trichomonas infections,protozoal infectious disorders,infections and infestations
bronchial neoplasm benign,respiratory tract and pleural neoplasms benign nec,respiratory and mediastinal neoplasms benign (excl mesotheliomas),"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
karnofsky scale improved,physical examination procedures and organ system status,physical examination and organ system status topics,investigations
ischaemic mitral regurgitation,mitral valvular disorders,cardiac valve disorders,cardiac disorders
viral labyrinthitis,viral infections nec,viral infectious disorders,infections and infestations
arthrogram,musculoskeletal and soft tissue imaging procedures,musculoskeletal and soft tissue investigations (excl enzyme tests),investigations
smear buccal normal,gastrointestinal histopathology procedures,gastrointestinal investigations,investigations
vertigo cns origin,vertigos nec,neurological disorders nec,nervous system disorders
extranodal marginal zone b-cell lymphoma (malt type) stage iii,extranodal marginal zone b-cell lymphomas (low grade b-cell),lymphomas non-hodgkin's b-cell,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
platelet aggregation normal,platelet analyses,haematology investigations (incl blood groups),investigations
stomatococcus test positive,bacteria identification and serology (excl mycobacteria),microbiology and serology investigations,investigations
interventricular septum rupture,myocardial disorders nec,myocardial disorders,cardiac disorders
ovarian germ cell cancer stage iii,ovarian germ cell neoplasms malignant,reproductive neoplasms female malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
myeloid metaplasia,myeloproliferative disorders (excl leukaemias),haematopoietic neoplasms (excl leukaemias and lymphomas),"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
chemotherapy toxicity attenuation,chemotherapies,therapeutic procedures and supportive care nec,surgical and medical procedures
sperm concentration decreased,fertility analyses,reproductive organ and breast investigations (excl hormone analyses),investigations
histology,histopathology procedures nec,"investigations, imaging and histopathology procedures nec",investigations
gastrointestinal scan,gastrointestinal and abdominal imaging procedures,gastrointestinal investigations,investigations
foetal heart rate acceleration abnormality,rate and rhythm disorders nec,cardiac arrhythmias,cardiac disorders
biopsy adrenal gland normal,adrenal gland histopathology procedures,endocrine investigations (incl sex hormones),investigations
le cells present,autoimmunity analyses,immunology and allergy investigations,investigations
anamnestic reaction,immune and associated conditions nec,immune disorders nec,immune system disorders
transitional cell carcinoma urethra,urinary tract neoplasms malignant nec,renal and urinary tract neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
bartholin's cyst removal,external female genital therapeutic procedures,obstetric and gynaecological therapeutic procedures,surgical and medical procedures
clumsy child syndrome,coordination and balance disturbances,neurological disorders nec,nervous system disorders
vaginoperineorrhaphy,vaginal therapeutic procedures,obstetric and gynaecological therapeutic procedures,surgical and medical procedures
apgar score abnormal,physical examination procedures and organ system status,physical examination and organ system status topics,investigations
external nose lesion excision,nasal therapeutic procedures,head and neck therapeutic procedures,surgical and medical procedures
hypercapnic coma,coma states,neurological disorders nec,nervous system disorders
atherectomy,arterial therapeutic procedures (excl aortic),vascular therapeutic procedures,surgical and medical procedures
respiratory depth decreased,breathing abnormalities,respiratory disorders nec,"respiratory, thoracic and mediastinal disorders"
gallbladder agenesis,hepatobiliary abnormalities congenital,hepatobiliary disorders congenital,"congenital, familial and genetic disorders"
brain lobectomy,skull and brain therapeutic procedures,"nervous system, skull and spine therapeutic procedures",surgical and medical procedures
blood insulin increased,"gastrointestinal, pancreatic and apud hormone analyses",endocrine investigations (incl sex hormones),investigations
wagner's disease,retinal disorders congenital,eye disorders congenital,"congenital, familial and genetic disorders"
basophil percentage increased,white blood cell analyses,haematology investigations (incl blood groups),investigations
parietal cell antibody,autoimmunity analyses,immunology and allergy investigations,investigations
arterial bypass thrombosis,cardiac and vascular procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
gambling,social issues nec,lifestyle issues,social circumstances
sordes,oral soft tissue signs and symptoms,oral soft tissue conditions,gastrointestinal disorders
urea urine abnormal,urinalysis nec,renal and urinary tract investigations and urinalyses,investigations
dystonia,dystonias,movement disorders (incl parkinsonism),nervous system disorders
polyneuropathy alcoholic,chronic polyneuropathies,peripheral neuropathies,nervous system disorders
eyelid infection,eye and eyelid infections,infections - pathogen unspecified,infections and infestations
suicide attempt,suicidal and self-injurious behaviour,suicidal and self-injurious behaviours nec,psychiatric disorders
alcoholic pseudo cushing's syndrome,adrenal cortical hyperfunctions,adrenal gland disorders,endocrine disorders
covid-19 immunisation,immunisations,therapeutic procedures and supportive care nec,surgical and medical procedures
pulmonary valve incompetence,pulmonary valvular disorders,cardiac valve disorders,cardiac disorders
vitello-intestinal duct remnant,intestinal disorders congenital,gastrointestinal tract disorders congenital,"congenital, familial and genetic disorders"
amoebic colitis,amoebic infections,protozoal infectious disorders,infections and infestations
bile duct stent insertion,biliary tract and gallbladder therapeutic procedures,hepatobiliary therapeutic procedures,surgical and medical procedures
hyponatraemic coma,coma states,neurological disorders nec,nervous system disorders
systemic mastocytosis,haematologic neoplasms nec,haematopoietic neoplasms (excl leukaemias and lymphomas),"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
coagulation factor v level abnormal,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
tuberculosis of central nervous system,tuberculous infections,mycobacterial infectious disorders,infections and infestations
vascular waterfall,vascular tests nec (incl blood pressure),cardiac and vascular investigations (excl enzyme tests),investigations
graft delamination,transplantation complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
application site calcification,application and instillation site reactions,administration site reactions,general disorders and administration site conditions
short stature homeobox gene mutation,gene mutations and other alterations nec,"chromosomal abnormalities, gene alterations and gene variants","congenital, familial and genetic disorders"
bradypnoea,breathing abnormalities,respiratory disorders nec,"respiratory, thoracic and mediastinal disorders"
mental disorder,mental disorders nec,psychiatric disorders nec,psychiatric disorders
vocal cord polypectomy,laryngeal therapeutic procedures,head and neck therapeutic procedures,surgical and medical procedures
gastrointestinal adenocarcinoma,gastrointestinal neoplasms malignant nec,gastrointestinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
burning sensation mucosal,paraesthesias and dysaesthesias,neurological disorders nec,nervous system disorders
residual ovary syndrome,reproductive tract and breast procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
antiribosomal p antibody positive,autoimmunity analyses,immunology and allergy investigations,investigations
chondrosis,cartilage disorders,"tendon, ligament and cartilage disorders",musculoskeletal and connective tissue disorders
alpha-2 macroglobulin,protein analyses nec,protein and chemistry analyses nec,investigations
anti-cyclic citrullinated peptide antibody,autoimmunity analyses,immunology and allergy investigations,investigations
malabsorption from administration site,administration site reactions nec,administration site reactions,general disorders and administration site conditions
aphrodisiac therapy,therapeutic procedures nec,therapeutic procedures and supportive care nec,surgical and medical procedures
cystitis erosive,bladder infections and inflammations,bladder and bladder neck disorders (excl calculi),renal and urinary disorders
blood testosterone free abnormal,reproductive hormone analyses,endocrine investigations (incl sex hormones),investigations
hypotensive crisis,vascular hypotensive disorders,decreased and nonspecific blood pressure disorders and shock,vascular disorders
fluorosis,poisoning and toxicity,"exposures, chemical injuries and poisoning","injury, poisoning and procedural complications"
torsion of the urethra,structural and obstructive urethral disorders (excl congenital),urethral disorders (excl calculi),renal and urinary disorders
anisocytosis,red blood cell abnormal findings nec,red blood cell disorders,blood and lymphatic system disorders
implant site nerve injury,implant and catheter site reactions,administration site reactions,general disorders and administration site conditions
vulval eczema,vulvovaginal signs and symptoms,vulvovaginal disorders (excl infections and inflammations),reproductive system and breast disorders
primary progressive multiple sclerosis,multiple sclerosis acute and progressive,demyelinating disorders,nervous system disorders
removal of foreign body from joint,joint therapeutic procedures,bone and joint therapeutic procedures,surgical and medical procedures
biopsy chest wall,musculoskeletal and soft tissue histopathology procedures,musculoskeletal and soft tissue investigations (excl enzyme tests),investigations
bowen's disease,skin neoplasms malignant and unspecified (excl melanoma),skin neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
benign gastrointestinal neoplasm,gastrointestinal neoplasms benign nec,gastrointestinal neoplasms benign,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
coronary artery thrombosis,coronary artery disorders nec,coronary artery disorders,cardiac disorders
vital capacity normal,respiratory and pulmonary function diagnostic procedures,respiratory and pulmonary investigations (excl blood gases),investigations
cholinergic syndrome,autonomic nervous system disorders,neuromuscular disorders,nervous system disorders
