,term_PT
18316,autoinflammatory disease
18317,coagulation factor v level increased
18318,uterine irritability
18319,thymus disorder
18320,nasal oedema
18321,vitamin d abnormal
18322,gram stain
18323,constipation neonatal
18324,faecal elastase concentration normal
18325,aortic valve sclerosis
18326,white blood cells urine
18327,drug tolerance decreased
18328,breast discomfort
18329,congenital central hypoventilation syndrome
18330,cystatin c abnormal
18331,carcinoid tumour of the stomach
18332,mastoid operation
18333,flat chest
18334,synovial disorder
18335,lupus vasculitis
18336,hyperlipidaemia
18337,ocular albinism
18338,glutamate dehydrogenase level normal
18339,anorectal human papilloma virus infection
18340,haemarthrosis
18341,skin infection
18342,macular vasospasm
18343,heart sounds
18344,renal haemangioma
18345,purine metabolism disorder
18346,lagophthalmos
18347,anaesthesia oral
18348,plasmodium malariae infection
18349,somatic delusion
18350,dermatitis psoriasiform
18351,base excess
18352,antimicrobial susceptibility test intermediate
18353,insulin-like growth factor decreased
18354,hypodontia
18355,cyclotron therapy
18356,blood cyanide normal
18357,polyomavirus test negative
18358,pachydermodactyly
18359,lymphoplasmacytoid lymphoma/immunocytoma stage iv
18360,ventricular cisternostomy
18361,myelocyte count
18362,cardiac electrophysiologic study normal
18363,hyperdynamic left ventricle
18364,foetal growth restriction
18365,amniorrhexis
18366,mid-dermal elastolysis
18367,cyp2b6 gene status assay
18368,subendocardial ischaemia
18369,mitral valve sclerosis
18370,chancroid
18371,perivascular dermatitis
18372,bartholin's cyst
18373,antidepressant therapy
18374,guillain-barre syndrome
18375,crowe's sign
18376,thyroid adenoma
18377,antineutrophil cytoplasmic antibody increased
18378,b-cell lymphoma refractory
18379,reaction to azo-dyes
18380,radiotherapy to pharynx
18381,pain assessment
18382,myositis ossificans
18383,cholangiectasis acquired
18384,oesophageal squamous cell carcinoma stage ii
18385,electronic cigarette user
18386,vanillyl mandelic acid urine increased
18387,enterorrhaphy
18388,monoclonal antibody radioconjugate therapy
18389,polymorphic eruption of pregnancy
18390,alpha globulin increased
18391,bacterial blepharitis
18392,microphthalmos
18393,nephroptosis
18394,oropharyngeal neoplasm benign
18395,lordosis post surgical
18396,mucormycosis
18397,phalen's test positive
18398,tonsillar haemorrhage
18399,spinal cord injury lumbar
18400,unwanted awareness during anaesthesia
18401,portoenterostomy
18402,pelvi-ureteric obstruction
18403,haemoglobin c disease
18404,colectomy total
18405,posterior tibial nerve injury
18406,iliac artery occlusion
18407,dental examination normal
18408,haemangioma embolisation
18409,abnormal cord insertion
18410,epididymitis tuberculous
18411,diabetes complicating pregnancy
18412,myocarditis mycotic
18413,clonus
18414,product administered to patient of inappropriate age
18415,hyperaldosteronism
18416,cranial nerve palsies multiple
18417,schizophrenic relative
18418,illogical thinking
18419,papillary tumour of renal pelvis
18420,apparent mineralocorticoid excess
18421,hydrophobia
18422,precursor t-lymphoblastic lymphoma/leukaemia recurrent
18423,postpartum state
18424,paranasal sinus neoplasm
18425,antidiuretic hormone abnormality
18426,abortion spontaneous complicated
18427,appendiceal abscess
18428,congenital pulmonary artery anomaly
18429,wyburn mason's syndrome
18430,polyomavirus viraemia
18431,delayed graft function
18432,plasma cell myeloma refractory
18433,rhesus antibodies negative
18434,detrusor sphincter dyssynergia
18435,butterfly rash
18436,obstruction
18437,intelligence test normal
18438,blood caffeine normal
18439,shift work disorder
18440,ultrasound eye
18441,chemical peel of skin
18442,breath sounds absent
18443,visuospatial deficit
18444,abnormal sleep-related event
18445,poor personal hygiene
18446,botulinum toxin injection
18447,leukapheresis
18448,nail matrix biopsy
18449,mitochondrial cytopathy
18450,pachydermoperiostosis
18451,hepatic amyloidosis
18452,total cholesterol/hdl ratio decreased
18453,gardnerella test negative
18454,product dosage form confusion
18455,blood pressure measurement
18456,biopsy breast
18457,parametritis
18458,blood group b
18459,walking aid user
18460,homocystinuria
18461,suture rupture
18462,creatinine renal clearance increased
18463,diabetic gangrene
18464,muir-torre syndrome
18465,sars-cov-2 viraemia
18466,choroidal effusion
18467,oesophageal spasm
18468,infective myositis
18469,sperm aspiration
18470,tongue dysplasia
18471,coombs direct test
18472,biopsy ear normal
18473,aortic valve replacement
18474,autoimmune disorder
18475,menstruation delayed
18476,tumour perforation
18477,osteoprotegerin ligand decreased
18478,"blood 1,25-dihydroxycholecalciferol"
18479,mueller's mixed tumour
18480,interferon alpha level increased
18481,periorbital infection
18482,angiotensin i
18483,dental disorder prophylaxis
18484,medical observation abnormal
18485,amniocentesis
18486,infectious disease carrier
18487,schumm's test negative
18488,mid-life crisis
18489,blood pressure ambulatory increased
18490,diencephalic syndrome of infancy
18491,complement factor c3 decreased
18492,platelet-large cell ratio decreased
18493,cystic lung disease
18494,blood loss anaemia
18495,non-hodgkin's lymphoma unspecified histology indolent stage ii
18496,mycotic endophthalmitis
18497,acquired epidermolysis bullosa
18498,troponin t normal
18499,malignant mediastinal neoplasm
18500,heel-knee-shin test abnormal
18501,neutrophil fc gamma riiib deficiency
18502,throat irritation
18503,lactobacillus infection
18504,renal lithiasis prophylaxis
18505,mixed deafness
18506,animal scratch
18507,mucopolysaccharidosis v
18508,ocular hypertension
18509,vitamin e increased
18510,monocyte count increased
18511,bursitis infective staphylococcal
18512,cholangiojejunostomy
18513,keratinising squamous cell carcinoma of nasopharynx
18514,acute graft versus host disease oral
18515,complication of pregnancy
18516,activated protein c resistance
18517,retroperitoneal haemorrhage
18518,immunisation
18519,mitochondrial myopathy
18520,foetal biophysical profile score
18521,trendelenburg position
18522,foreign body ingestion
18523,hypertrophic olivary degeneration
18524,bacterial pyelonephritis
18525,forced expiratory flow
18526,squamous cell carcinoma antigen increased
18527,htlv test positive
18528,blood beta-d-glucan positive
18529,application site rash
18530,periorbital pain
18531,glabellar reflex abnormal
18532,blood osmolarity
18533,low density lipoprotein increased
18534,scoliosis radiation
18535,prepuce dorsal slit
18536,gastric occult blood positive
18537,ureteric obstruction
18538,blood immunoglobulin g decreased
18539,bromosulphthalein test abnormal
18540,allergy to surgical sutures
18541,testicular leiomyosarcoma
18542,mismatch repair cancer syndrome
18543,incarcerated hernia repair
18544,psoriasis area severity index increased
18545,blood cortisol
18546,cerebellar ischaemia
18547,blood calcium abnormal
18548,vaginal atresia
18549,bronchial neoplasm
18550,testicular germ cell tumour mixed
18551,metastases to biliary tract
18552,coarctation of the aorta
18553,pyuria
18554,respiration abnormal
18555,prosopagnosia
18556,well educated
18557,on and off phenomenon
18558,diffuse idiopathic pulmonary neuroendocrine cell hyperplasia
18559,infusion site dermatitis
18560,femoral pulse decreased
18561,magnetic resonance imaging
18562,biopsy bone marrow abnormal
18563,tractional retinal detachment
18564,breast cyst drainage
18565,penile cancer
18566,hypervitaminosis a
18567,periumbilical abscess
18568,liver transplant
18569,dyssomnia
18570,lentigo maligna stage ii
18571,extended radical mastectomy
18572,retinal function test normal
18573,human anti-hamster antibody increased
18574,voice therapy
18575,amphetamines positive
18576,urine nitrogen
18577,bone marrow myelogram abnormal
18578,cleft palate repair
18579,vitreous opacities
18580,ankyloglossia acquired
18581,gamma butyric dehydrogenase increased
18582,cardiac haemolytic anaemia
18583,blood corticotrophin abnormal
18584,hepatitis f
18585,intestinal metaplasia
18586,keratouveitis
18587,cri du chat syndrome
18588,anti-gad antibody positive
18589,blood stem cell transplant failure
18590,tornwaldt cyst
18591,abortion incomplete complicated
18592,biopsy spinal cord abnormal
18593,lip haematoma
18594,idiosyncratic drug reaction
18595,pituitary hyperplasia
18596,volume blood decreased
18597,discharge
18598,encephalitis meningococcal
18599,haemorrhagic hepatic cyst
18600,lymphoma transformation
18601,cyclothymic disorder
18602,plasmin inhibitor increased
18603,bovine tuberculosis
18604,spinal cordotomy
18605,vulvovaginitis gonococcal
18606,skin squamous cell carcinoma recurrent
18607,non-hodgkin's lymphoma unspecified histology aggressive refractory
18608,anti-insulin receptor antibody
18609,somnolence
18610,sperm granuloma
18611,malignant hypertensive heart disease
18612,aphakic glaucoma
18613,underdose
18614,grey matter heterotopia
18615,systemic candida
18616,somatic dysfunction
18617,empty sella syndrome
18618,acute monocytic leukaemia
18619,microangiopathy
18620,smith-magenis syndrome
18621,anxious parent
18622,sleep paralysis
18623,weight loss poor
18624,anti-erythrocyte antibody negative
18625,toxic cardiomyopathy
18626,ocular fistula
18627,retinal melanocytoma
18628,blood gastrin increased
18629,peritoneal neoplasm
18630,dreamy state
18631,gastrointestinal perforation
18632,csf shunt removal
18633,mammoplasty
18634,hereditary neuropathic amyloidosis
18635,hepatic adenoma
18636,ultrasonic angiogram abnormal
18637,padua prediction score
18638,galactose urine abnormal
18639,rosacea
18640,t-cell lymphoma stage iii
18641,prostate volume study
18642,salivary gland resection
18643,compartment syndrome
18644,catheter site hypersensitivity
18645,antibiotic level below therapeutic
18646,incisional hernia gangrenous
18647,small intestine carcinoma metastatic
18648,major depression
18649,placental insufficiency
18650,scan with contrast
18651,reticulocyte count decreased
18652,yellow fever
18653,tumour necrosis factor receptor-associated periodic syndrome
18654,hypercalcaemia of malignancy
18655,biliary adenoma
18656,device material opacification
18657,radiation associated cardiac failure
18658,anti-infective therapy
18659,parasite stool test
18660,pneumococcal sepsis
18661,viral disease carrier
18662,puncture site reaction
18663,congenital cardiovascular anomaly
18664,rhinitis prophylaxis
18665,hyperaesthesia teeth
18666,reticulocyte percentage
18667,tumour marker abnormal
18668,asthenia
18669,retinal vessel avulsion
18670,carbohydrate deficient transferrin increased
18671,dental care
18672,exposure via direct contact
18673,thyroid hormone replacement therapy
18674,endobronchial valve implantation
18675,abnormal palmar/plantar creases
18676,mammary tuberculosis
18677,pantothenic acid deficiency
18678,ear canal abrasion
18679,intestinal stent insertion
18680,measles immunisation
18681,failed trial of labour
18682,thyroid fibrosis
18683,bone giant cell tumour
18684,laryngeal ulceration
18685,ocular cancer metastatic
18686,malignant airway obstruction
18687,familial infantile bilateral striatal necrosis
18688,hepatitis d antibody
18689,weight control
18690,hypochondroplasia
18691,post-tussive vomiting
18692,encephalopathy allergic
18693,yersinia bacteraemia
18694,fontan procedure
18695,vaccination site joint effusion
18696,cerebral gas embolism
18697,trabecular aspiration
18698,von willebrand's factor antigen test
18699,glucagonoma
18700,friedreich's ataxia
18701,hypermetropia
18702,gastrointestinal ischaemia
18703,post vaccination challenge strain shedding
18704,blood growth hormone releasing hormone increased
18705,gonorrhoea
18706,bacterial iritis
18707,ovarian cyst
18708,ureteral necrosis
18709,femoral hernia repair
18710,cervical polyp
18711,respiratory tract chlamydial infection
18712,endometrium arrested stage
18713,joint dislocation pathological
18714,von willebrand's disease
18715,presbyoesophagus
18716,bacteroides test positive
18717,upper respiratory fungal infection
18718,necrosis
18719,speech disorder developmental
18720,multiple sclerosis
18721,reduction of increased intracranial pressure
18722,blood gonadotrophin releasing hormone decreased
18723,breast discharge
18724,positive end-expiratory pressure
18725,cd4/cd8 ratio increased
18726,vulvovaginal exfoliation
18727,dysphoria
18728,candida osteomyelitis
18729,planning to become infertile
18730,feeling of despair
18731,rhinorrhoea
18732,administration site joint discomfort
18733,ultrasound doppler abnormal
18734,fibromyalgia
18735,excessive cerumen production
18736,venous stenosis
18737,kussmaul respiration
18738,hepatic cancer stage iii
18739,tenosynovitis
18740,uterine carcinoma in situ
18741,scan adrenal gland abnormal
18742,intestinal angina
18743,carcinoma ex-pleomorphic adenoma
18744,mucopolysaccharidosis iii
18745,serpiginous choroiditis
18746,acariasis
18747,extensive interdialytic weight gain
18748,glucose urine
18749,kyasanur forest disease
18750,administration site erythema
18751,petroleum distillate poisoning
18752,nervous system disorder
18753,multiple cutaneous and uterine leiomyomatosis
18754,reproductive complication associated with device
18755,skin discharge
18756,degenerative mitral valve disease
18757,rectoprostatic fistula
18758,polymenorrhagia
18759,blood immunoglobulin g normal
18760,tilted disc syndrome
18761,colitis cystica profunda
18762,iris injury
18763,eyelash hyperpigmentation
18764,biopsy endometrium abnormal
18765,infusion site oedema
18766,carotid artery dolichoectasia
18767,respiratory fume inhalation disorder
18768,multiple chemical sensitivity
18769,nicotinic acid deficiency
18770,congenital hypoplasia of depressor angularis oris muscle
18771,colpocleisis
18772,anti factor x activity decreased
18773,renal vein occlusion
18774,suspiciousness
18775,sialometaplasia
18776,skin infection helminthic
18777,skin hypoplasia
18778,discogram
18779,rinne tuning fork test
18780,asteatosis
18781,libido increased
18782,os trigonum
18783,alcoholic psychosis
18784,urine phosphorus abnormal
18785,neuropsychiatric syndrome
18786,radiotherapy to gastrointestinal tract
18787,csf immunoglobulin g index
18788,coagulation factor xi level
18789,mucoepidermoid carcinoma of salivary gland
18790,hyperhidrosis
18791,hip arthroplasty
18792,escherichia bacteraemia
18793,methylenetetrahydrofolate reductase gene mutation
18794,confabulation
18795,tracheal stenosis
18796,epstein-barr virus test positive
18797,neutrophilic panniculitis
18798,hypervigilance
18799,hand deformity
18800,allodynia
18801,noninfective epididymitis
18802,abortion induced complete
18803,ehrlichia test positive
18804,hepatobiliary scan normal
18805,blood count
18806,alveolar oxygen partial pressure decreased
18807,fatty acid oxidation disorder
18808,antiribosomal p antibody
18809,apgar score normal
18810,interleukin-2 receptor assay
18811,rheumatoid factor quantitative increased
18812,semen viscosity decreased
18813,cardio-respiratory arrest neonatal
18814,sigmoidectomy
18815,urine iron decreased
18816,shock
18817,mouth swelling
18818,foetal alcohol syndrome
18819,malignant renal hypertension
18820,juvenile myoclonic epilepsy
18821,hereditary haemorrhagic telangiectasia
18822,c-telopeptide
18823,splenic neoplasm malignancy unspecified
18824,blood hcv rna below assay limit
18825,home care
18826,neurogenic hypertension
18827,transferrin saturation decreased
18828,catheter site scab
18829,reaction to previous exposure to any vaccine
18830,vaccination site plaque
18831,cardiotoxicity
18832,prostatic hypoplasia
18833,arteriosclerosis moenckeberg-type
18834,myeloid maturation arrest
18835,lymphocele marsupialisation
18836,vitamin a deficiency related corneal disorder
18837,vaccine virus shedding
18838,"follicle centre lymphoma, follicular grade i, ii, iii recurrent"
18839,sodium retention
18840,small cell lung cancer recurrent
18841,csf protein abnormal
18842,implant site pustules
18843,waterhouse-friderichsen syndrome
18844,infusion site abscess sterile
18845,application site pain
18846,nasopharyngeal cancer stage iv
18847,multiple endocrine neoplasia type 2a
18848,membrane stabilising effect
18849,peritoneal mesothelioma malignant recurrent
18850,carbon dioxide
18851,infectious mononucleosis
18852,dry skin prophylaxis
18853,biopsy rectum abnormal
18854,meconium cyst
18855,necrosis ischaemic
18856,mycobacterium kansasii infection
18857,urine delta aminolevulinate
18858,carcinoid tumour pulmonary
18859,acromesomelic dysplasia
18860,parathyroid cyst
18861,spinal x-ray abnormal
18862,malignant meningioma metastatic
18863,jugular vein occlusion
18864,viral load abnormal
18865,pharyngectomy
18866,eye paraesthesia
18867,periodontitis
18868,infant irritability
18869,amplified musculoskeletal pain syndrome
18870,antipsychotic drug level above therapeutic
18871,anal fistula infection
18872,therapeutic response delayed
18873,cardiac pacemaker adjustment
18874,vulvovaginal mycotic infection
18875,muscle graft
18876,opitz-g/bbb syndrome
18877,rebound effect
18878,eye infection fungal
18879,carbohydrate antigen 15-3 increased
18880,electroporation therapy
18881,loss of proprioception
18882,red blood cell sickled cells present
18883,biopsy pericardium abnormal
18884,abdominal rebound tenderness
18885,epiploic appendage removal
18886,vasectomy repeat
18887,hepatic artery aneurysm
18888,injection site cyst
18889,cardiac neurofibroma
18890,hiv antigen positive
18891,drug metabolising enzyme increased
18892,dirofilariasis
18893,product substitution
18894,aldolase decreased
18895,device physical property issue
18896,ossicular operation
18897,colonic lavage
18898,norwood procedure
18899,haemoglobin s
18900,cardiac aneurysm
18901,portal shunt procedure
18902,peripartum cardiomyopathy
18903,encephalopathy neonatal
18904,autonomic seizure
18905,exposure via skin contact
18906,xith nerve injury
18907,po2
18908,peritoneal mesothelioma malignant
18909,electrocardiogram u-wave prominent
18910,anisomastia
18911,pachyonychia congenita
18912,thirst decreased
18913,malignant blue naevus
18914,optic disc vascular disorder
18915,anti factor xi antibody positive
18916,uterine cervical pain
18917,scrotal exfoliation
18918,premature ageing
18919,acute painful neuropathy of rapid glycaemic control
18920,red blood cell morphology normal
18921,annular elastolytic giant cell granuloma
18922,biopsy cervix normal
18923,peptic ulcer helicobacter
18924,tendon discomfort
18925,barium enema
18926,nongerminomatous germ cell tumour of the cns
18927,benign neoplasm of optic nerve
18928,ankylosing spondylitis
18929,free prostate-specific antigen decreased
18930,large intestine operation
18931,retinal vein occlusion
18932,lenticulostriatal vasculopathy
18933,medical device monitoring error
18934,velopharyngeal incompetence
18935,orbit atrophy
18936,metastases to muscle
18937,portal pyaemia
18938,metastases to the respiratory system
18939,gallbladder volvulus
18940,ketosis-prone diabetes mellitus
18941,brevibacterium test positive
18942,russell's viper venom time
18943,cardiovascular syphilis
18944,viraemia
18945,anaphylaxis treatment
18946,electron radiation therapy to prostate
18947,sedative therapy
18948,circumstance or information capable of leading to device use error
18949,chest wall tumour
18950,cardiac amyloidosis
18951,drug tolerance
18952,blood zinc normal
18953,nasal polyps
18954,sulphaemoglobinaemia
18955,csf shunt irrigation
18956,product physical issue
18957,non-hodgkin's lymphoma unspecified histology aggressive stage i
18958,sarcoidosis
18959,sucrase-isomaltase deficiency
18960,biopsy peripheral nerve normal
18961,blood hiv rna
18962,blood galactose abnormal
18963,nonspecific reaction
18964,atrophie blanche
18965,potassium hydroxide preparation positive
18966,eustachian tube obstruction
18967,immune-mediated hypothyroidism
18968,kimmerle's anomaly
18969,electrocardiogram r on t phenomenon
18970,penile swelling
18971,pharyngeal ulceration
18972,gastroenteritis paracolon bacillus
18973,salivary duct obstruction
18974,congenital oesophageal anomaly
18975,high-energy trauma
18976,impaired reasoning
18977,sensitive skin
18978,topical cardiac cooling
18979,granuloma
18980,monoclonal immunoglobulin increased
18981,glycogenic acanthosis
18982,blepharitis
18983,vascular parkinsonism
18984,dopamine transporter scintigraphy
18985,vaginal cuff dehiscence
18986,protein-losing gastroenteropathy
18987,allergy to silk
18988,rhinolithiasis
18989,aspiration pleural cavity
18990,hemihypertrophy
18991,surgical preconditioning
18992,blood alcohol normal
18993,zika virus associated ocular birth defect
18994,mumps antibody test
18995,blood cyanide decreased
18996,parasite stool test positive
18997,injection site induration
18998,basophil count abnormal
18999,myosin increased
19000,balantidiasis
19001,tyrosinaemia
19002,pectus carinatum
19003,urine electrolytes
19004,artificial menopause
19005,functional residual capacity
19006,vital dye staining cornea present
19007,instillation site complication
19008,cystitis radiation
19009,anti-ganglioside antibody
19010,epithelioid mesothelioma
19011,mitral valve disease mixed
19012,schistosoma test positive
19013,lumbosacral plexus lesion
19014,activated partial thromboplastin time ratio
19015,injection site hypertrichosis
19016,cytogenetic response
19017,venom poisoning
19018,apolipoprotein a-i
19019,claustrophobia
19020,pseudophakodonesis
19021,fibronectin abnormal
19022,bone density decreased
19023,laryngocele
19024,left ventricular diastolic collapse
19025,cerebral oedema management
19026,pericardial disease
19027,chondrectomy
19028,femoral nerve palsy
19029,bone pain
19030,reticular cell count
19031,genitourinary operation
19032,brain stem syndrome
19033,implantable defibrillator removal
19034,birth weight normal
19035,burns fourth degree
19036,coronary artery bypass
19037,instillation site oedema
19038,vaginal mucosal blistering
19039,ecg p wave inverted
19040,adaptive servo-ventilation
19041,administration site coldness
19042,brevibacterium infection
19043,vaginal infection
19044,ranula
19045,leukotriene test
19046,toxic skin eruption
19047,traumatic anuria
19048,gallbladder cancer stage ii
19049,endometrial hyperplasia
19050,swollen tear duct
19051,exercise electrocardiogram normal
19052,alcoholic coma
19053,choanal atresia
19054,neonatal respiratory acidosis
19055,mitochondrial myopathy acquired
19056,intervertebral disc pseudobulging
19057,alpha-1 anti-trypsin abnormal
19058,gynaecological disorder prophylaxis
19059,gastrointestinal stoma necrosis
19060,cutaneous symptom
19061,nail atrophy
19062,burkholderia mallei infection
19063,lung cyst removal
19064,neuroectodermal neoplasm
19065,narrow anterior chamber angle
19066,oesophageal ulcer haemorrhage
19067,epilepsy with myoclonic-atonic seizures
19068,glaucomatocyclitic crises
19069,trigonitis
19070,urea renal clearance decreased
19071,biliary fistula
19072,human immunodeficiency virus transmission
19073,senior-loken syndrome
19074,device information output issue
19075,rhesus antigen
19076,manual lymphatic drainage
19077,respiratory tract inflammation
19078,candida sepsis
19079,venous pressure decreased
19080,upper respiratory tract infection
19081,autoimmune pancytopenia
19082,congenital spondylolysis
19083,biopsy pancreas normal
19084,multiple carboxylase deficiency
19085,fasting
19086,h1n1 influenza
19087,hepatic steato-fibrosis
19088,vocal cord dysfunction
19089,smear buccal
19090,carotid artery stenosis
19091,vitamin b12 absorption test
19092,akinaesthesia
19093,fibroblast growth factor 23 increased
19094,tinea blanca
19095,medical device site dermatitis
19096,basophil degranulation test
19097,anisochromia
19098,myotonic dystrophy
19099,conjunctival oedema
19100,medullary thyroid cancer
19101,enterocolitis viral
19102,diabetic macroangiopathy
19103,ultrasound prostate
19104,free haemoglobin
19105,parathyroid gland abscess
19106,vaccination site necrosis
19107,acute hepatitis b
19108,drug delivery system issue
19109,oesophageal stent removal
19110,breast implant palpable
19111,central nervous system mass
19112,dnmt3a gene mutation
19113,bone marrow transplant rejection
19114,pulmonary granuloma
19115,infectious iridocyclitis
19116,vitamin k
19117,filippi syndrome
19118,laryngoscopy abnormal
19119,mastoptosis
19120,iris exfoliation
19121,instillation site hypoaesthesia
19122,foreign body in respiratory tract
19123,lipogranuloma
19124,oral submucosal fibrosis
19125,caecal lesion excision
19126,mitogen stimulation test abnormal
19127,oropharyngeal scar
19128,consciousness fluctuating
19129,onychophagia
19130,blood iron increased
19131,overcrowded housing
19132,nose deformity
19133,angioedema
19134,peak expiratory flow rate normal
19135,encephalitis
19136,ankle impingement
19137,atypical fracture
19138,spinal fusion acquired
19139,oocyte donation
19140,gastrointestinal amyloidosis
19141,blood citric acid abnormal
19142,hepatitis c core antibody positive
19143,rhinitis atrophic
19144,blood insulin decreased
19145,device psychogenic complication
19146,mast cell activation syndrome
19147,clear cell renal cell carcinoma
19148,meteoropathy
19149,muscular weakness
19150,fear of crowded places
19151,vascular resistance pulmonary decreased
19152,alveolar aeration excessive
19153,eosinophil count
19154,hypertelorism of orbit
19155,pulmonary function test increased
19156,adrenal thrombosis
19157,pleuropulmonary blastoma
19158,her2 negative breast cancer
19159,distal intestinal obstruction syndrome
19160,brenner tumour
19161,umbilical cord short
19162,haemorrhagic varicella syndrome
19163,thromboplastin antibody positive
19164,pancreatectomy
19165,physical thyroid examination
19166,mucosal dryness
19167,stomal hernia
19168,timothy syndrome
19169,gallbladder adenocarcinoma
19170,monoparesis
19171,femoral retroversion
19172,manufacturing process control procedure incorrectly performed
19173,fanconi syndrome acquired
19174,burning feet syndrome
19175,ulnar nerve palsy
19176,portal vein dilatation
19177,cubital tunnel syndrome
19178,wolff-parkinson-white syndrome
19179,hodgkin's disease lymphocyte predominance type stage iii
19180,pseudocyst
19181,transaminases increased
19182,hemiapraxia
19183,pulse abnormal
19184,slit-lamp tests abnormal
19185,foetal cerebrovascular disorder
19186,hypersexuality
19187,smear buccal abnormal
19188,bone anchored hearing aid implantation
19189,yergason's test
19190,hepatic fibrosis marker increased
19191,mastitis
19192,cardiac procedure complication
19193,granulomatous t-cell pseudolymphoma
19194,malignant joint neoplasm
19195,penis reattachment
19196,tooth avulsion
19197,corneal endothelial cell loss
19198,band neutrophil percentage increased
19199,benign lymph node neoplasm
19200,cardiac teratoma
19201,adrenal gland cancer
19202,cyp3a4 polymorphism
19203,adjuvant therapy
19204,biopsy oesophagus abnormal
19205,homeopathic aggravation
19206,anal cancer stage iv
19207,neobladder surgery
19208,halothane antibody negative
19209,removal of foreign body
19210,vertebral artery aneurysm
19211,parathyroid hyperplasia
19212,urinary incontinence
19213,left atrial reduction plasty
19214,vanishing bile duct syndrome
19215,vaccination site nodule
19216,tuberculoid leprosy
19217,ligament rupture
19218,apolipoprotein e increased
19219,dermatomyositis
19220,glycolic acid increased
19221,gingival polyp
19222,precursor b-lymphoblastic lymphoma stage i
19223,jaw clicking
19224,staphylococcus test negative
19225,venogram renal abnormal
19226,splanchnicectomy
19227,chemotherapy
19228,coagulation factor ix level
19229,cartilage neoplasm
19230,renovascular hypertension
19231,anal pap smear
19232,sick building syndrome
19233,adrenoleukodystrophy
19234,"drug dependence, postpartum"
19235,culdoplasty
19236,injection site pustule
19237,lipolysis procedure
19238,sialadenosis
19239,alpha 2 globulin
19240,cytomegalovirus test positive
19241,truss user
19242,acute respiratory failure
19243,blood creatine phosphokinase mb abnormal
19244,nucleated red cells
19245,application site movement impairment
19246,hepatitis b e antibody negative
19247,transcranial electrical motor evoked potential monitoring
19248,congenital ebola virus infection
19249,nail bed bleeding
19250,chilaiditi's syndrome
19251,papillary thyroid cancer
19252,atrial appendage closure
19253,acrocephalosyndactyly
19254,type iii immune complex mediated reaction
19255,coombs indirect test negative
19256,red blood cell morphology abnormal
19257,pulmonary bullectomy
19258,vagus nerve paralysis
19259,periorbital haematoma
19260,paranasal sinus and nasal cavity malignant neoplasm stage ii
19261,parvovirus b19 infection reactivation
19262,cold type haemolytic anaemia
19263,salivary gland cancer recurrent
19264,device stimulation issue
19265,pancreatitis mumps
19266,vitamin c
19267,platelet morphology
19268,chest wall haematoma
19269,periprosthetic osteolysis
19270,bile duct adenocarcinoma
19271,tandem gait test abnormal
19272,uterine cancer
19273,vertebral foraminal stenosis
19274,administration site pallor
19275,ependymoma malignant
19276,ischaemic nephropathy
19277,retinal fibrosis
19278,tracheal abscess
19279,colorectal cancer stage ii
19280,ubiquinone increased
19281,oculoauriculovertebral dysplasia
19282,fluid balance assessment
19283,aspartate aminotransferase normal
19284,cardiac arrest neonatal
19285,enzyme activity assay
19286,electrocardiogram pr interval
19287,mean cell haemoglobin concentration normal
19288,bone scan abnormal
19289,evidence based treatment
19290,hirudiniasis
19291,cardiac contractility modulation therapy
19292,carotid arterial embolus
19293,langerhans cell sarcoma
19294,lymphocyte transformation test negative
19295,nasal pruritus
19296,hemianaesthesia
19297,bundle branch block right
19298,nasopharyngeal aspiration
19299,cornelia de lange syndrome
19300,intracardiac pressure increased
19301,dural arteriovenous fistula
19302,prophylaxis against motion sickness
19303,genital infection female
19304,compression fracture
19305,megakaryocytes abnormal
19306,tropical ulcer
19307,shift to the right
19308,secondary syphilis
19309,laparoscopy abnormal
19310,beckwith-wiedemann syndrome
19311,uvulectomy
19312,hydroureter
19313,thyroxine
19314,ischaemic heart disease prophylaxis
19315,anal pap smear abnormal
19316,endometrial sarcoma metastatic
19317,salpingo-oophorectomy bilateral
19318,cyclic amp increased
19319,red blood cell anisocytes present
19320,congenital cerebral cyst
19321,hiv infection cdc group iv subgroup e
19322,apituitarism
19323,conradi-huenermann syndrome
19324,adrenocortical insufficiency acute
19325,administration site scar
19326,paranasal sinus polypectomy
19327,aplasia pure red cell
19328,mucocutaneous rash
19329,cataract congenital
19330,lateral patellar compression syndrome
19331,pancreatic sphincterotomy
19332,infusion site reaction
19333,platelet adhesiveness decreased
19334,amphetamines negative
19335,splenic varices haemorrhage
19336,retrograde migration of renal calculi
19337,egfr gene overexpression
19338,ethanol gelation test
19339,creatine deficiency syndrome
19340,cerebral arteriovenous malformation haemorrhagic
19341,heart transplant
19342,hepatitis a antibody
19343,cardiac function test
19344,tracheobroncheopathia osteoclastica
19345,foetal-maternal haemorrhage
19346,infective spondylitis
19347,popliteal artery entrapment syndrome
19348,anniversary reaction
19349,eyelash thickening
19350,opportunistic infection
19351,vaccine bacteria shedding
19352,incarcerated hernia
19353,cadasil
19354,nail pterygium
19355,administration site infection
19356,muscle strain
19357,neutrophil/lymphocyte ratio increased
19358,injection site macule
19359,pml/rar alpha expression
19360,platelet aggregation increased
19361,prostatic cyst
19362,bone fragmentation
19363,blood lactate dehydrogenase
19364,glutamate dehydrogenase decreased
19365,larynx irritation
19366,carotid artery dissection
19367,lip oedema
