arthropathy,joint problems,lightweight
asthenia,weak knees,diabetes risk
asthenia,can't even get whipped cream out of the can,back ache
asthenia,energy,depressed
asthenia,weak,staggering
asthenia,energy,lost effectiveness
asthenia,energy,tired
asthenia,energy,suicidal thoughts
asthenia,weak knees,shooting pains down arms
ataxia,ataxia,weak knees
ataxia,ataxia,glaucoma
attention deficit hyperactivity disorder,add,flat
back pain,lower back ache,cant get up
back pain,lower back ache,equivalent to torture
back pain,back ache,felt like acid
back pain,back,tolerant
back pain,back pain,cravings 
back pain,back pain,tendon rupture
back pain,back,swollen lower legs
back pain,lower back ache,vertigo
back pain,"back, hip, and leg aches",doesn't care about my bed time
back pain,back pain,attention-killing
back pain,back pain,horrendous venlafaxine dream
back pain,back pain,cravings
back pain,lower back pain,sleep for dayyssss
binge eating,binge,sun sensitivity
bipolar i disorder,mixed episodes,hotflashes
bipolar i disorder,mixed episode,chemo
bipolar i disorder,mixed episode,pee way too much
blindness,lost vision,dreams
blood pressure decreased,blood pressure dropped,digestive problems
blood pressure increased,raised my blood pressure,dream
blood prolactin increased,prolactin,crying
blood prolactin increased,prolactin levels,dreadful nights sleep
body temperature increased,low grade temp,awake
body temperature increased,low grade temp,stopped working
bradyphrenia,can't think as fast,depressed
bradyphrenia,slow,sloth
breast enlargement,boobs humungous,equivalent to torture
breast enlargement,boobs humungous,sick
breath odour,breath smells,boobs humungous
bruxism,grind my teeth,knock me the fuck out 
bruxism,jaw clenching,back to sleep
bruxism,grind my teeth,restlesslegs
burning sensation,felt like chemo,dissociation
burning sensation,felt like acid,tired
burning sensation,burned,knocking me about
burning sensation,burned,crazy town
calcium deficiency,calcium problems,continuous shitting
cardiac arrest,heart stopped,working any more
chemotherapy,chemo,restlessness
chest pain,chest hurt,kicking my ass
chest pain,chest hurt,"just eat, and eat"
chest pain,chest pain,no legit sex
chills,shivers,destroyed my lungs
chills,shivers,nauesousness
clostridial sepsis,septic c diff,pooped out
cognitive disorder,cognitive problems,rls
compulsions,twirls her hair constantly,drunk
compulsions,cleaned my entire kitchen,twitchy
confusional state,thirty minutes to type,tummy pains
confusional state,thirty minutes to type,knock me the fuck out 
confusional state,confused,heart attack
connective tissue disorder,connective tissue,thirty minutes to type
constipation,constipation,not let me sleep
contusion,bruises,scared
cough,cough,limping
crying,crying,sleep for 11 hours
crying,cry,addiction
crying,crying,yawning
crying,sobbing,flu iike symptoms
crying,sobbing,dizzy
crying,random crying,withdrawals
crying,sobbing,thyroid
crying,crying,shaking
decreased appetite,rid of my appetite, withdrawal
decreased appetite,appetite is still terrible,disturbed sleep
decreased appetite,stop spending all of your income in food,coma
decreased appetite,don't eat,lucidity
decreased appetite,didn't eat a thing, tendons in lots of pain
decreased appetite,no appetite,pain
decreased appetite,didn't eat a thing,sick
decreased appetite,didn't eat a thing,drowsy
decreased appetite,no appetite,sick
decreased appetite,don't eat,joint pain
decreased appetite,can't eat,slept 13-14 hrs
decreased appetite,don't eat,leg aches
decreased appetite,haven't ate,zombie
decreased appetite,rid of my appetite,tired
decreased appetite,stop spending all of your income in food,knocked on my ass
decreased appetite,didn't eat a thing,fat
decreased appetite,appetite is still terrible,paranoia
dehydration,dehydrate,headaches
dehydration,dehydrate,dries mouth
dehydration,dehydrate,tiiiiired
delirium,deliriousness,migraines
delusion,need to save the world,shaky
dependence,addiction,zombies
dependence,addiction,waking up without knowing i feel asleep
dependence,addiction,coming off effexor was the worst
dependence,addiction,put much weight on
dependence,addiction,heart started lurching
dependence,addicted,withdrawals
dependence,addiction,lethargic
dependence,addiction,withdrawals
dependence,addiction,vomiting
dependence,addiction,brain zaps
dependence,addiction,screwing with my memory
dependence,addiction,allergic reaction
dependence,addiction,out of it
depressed mood,depressed,withdrawals
depressed mood,sad,ataxia
depressed mood,sad,groggy
depression,crawl in a hole,nightmares
depression,depressed,wailed
depression,depressed,nauseated
depression,depressed,tremors in hands
depression,depressed,tremors
depression,crawl in a hole,fluid retention
depression,depression.,headache
depression,depressed,puking
depression,depressed,confused
diabetes mellitus,diabetes,priapism
diabetes mellitus,diabetes,breastmilk production
diarrhoea,diarrhea,high
diarrhoea,raging bm's,flare
diarrhoea,diarrhea,nap
diarrhoea,diarrhea,not eat
disability,can't run,not hungry
disability,crippled,dreams
discomfort,discomfort,zombie
dissociation,disconnected,hunger inducing
dissociation,dissociation,impossible to cry
disturbance in attention,attention-killing,heart stopped
disturbance in attention,attention-killing,toxic reactions
dizziness,lightheadeded ,coma
dizziness,dizzy,fatigue
dizziness,dizzy,dead from the waist down
dizziness,lightheadeded ,erectile dysfunction
dizziness,lightheadeded ,burnt
dizziness,dizzy,see shapes
dizziness,dizzy,almost died
dizziness,dizziness,remembered what food is
dizziness,dizzy,reaction
dizziness,dizzy,rash
dizziness,dizzy,psychotic reactions
drooling,drooling,not being able to fit into summer wardrobe
drug dependence,addicted,crazy town
drug dependence,addict,gain weight
drug dependence,addictive,comedown is hell
drug dependence,addicted,nauesousness
drug dependence,"you can check in, but you can never leave",rls
drug dependence,"you can check in, but you can never leave",blood pressure dropped
drug dependence,addicted,no appetite
drug dependence,addict,tweaking
drug dependence,addictive,hungry
drug dependence,"you can check in, but you can never leave",vomit
drug dependence,addicted,coma
drug dependence,addictive,knocked me out
drug dependence,addictive,aches
drug hypersensitivity,allergic,joint pain
drug hypersensitivity,allergic,mouth is painfully dry
drug interaction,interacts,drowsy
drug withdrawal syndrome,coming off klonopin and paxil was hell,wideawake
drug withdrawal syndrome,coming off klonopin and paxil was hell,addiction
drug withdrawal syndrome,coming off,mouth is painfully dry
drug withdrawal syndrome,coming off,oedema
dry mouth,dry mouth,mute
dry mouth,dry mouth,heart started lurching
dry mouth,dry mouth,sweating
dry mouth,dry mouth,spazzing out
dry mouth,cotton mouth,addicted
dry mouth,dry-mouth,lost effectiveness
dry mouth,dry-mouth,14 hour nap
dry mouth,dry mouth,high
dry mouth,dry-mouth,nausea
dry throat,throat,messing with my sleep
dyskinesia,jolting,sleepless
dyslexia,dyslexic,racing heart
dyspepsia,hard to digest,zombie-ness
dyspnoea,needing my inhaler,shivering
dyspnoea,stop breathin,sad
dysstasia,feel like i can't even stand,sick
emotional disorder,spazzing out,common for apartments to be haunted
emotional poverty,impossible to cry,slept horribly
emotional poverty,impossible to cry,cravings
emotional poverty,dry eyed,torn faced
emotional poverty,numbness,dreams
emotional poverty,dry eyed,rash 
emotional poverty,inability to cry,hating food
erectile dysfunction,erectile dysfunction,coma
erectile dysfunction,boner kryptonite,ejaculate
erectile dysfunction,impotency,depressed
erectile dysfunction,erectile dysfunction,asleep 24/7
eructation,burping,beat up
erythema,neck was red,withdrawal
euphoric mood,high,felt nothing
euphoric mood,feeling high,tired
euphoric mood,high,reduces libido
euphoric mood,feeling high,burned
eye irritation, burns,diabetes risk
fatigue,exhausting,orgasm
fatigue,tired,zombie
fatigue,tired,vomitting
fatigue,tiredness,withdrawls
fatigue, tired,priapism
fatigue,tired,withdrawal
fatigue,tired,weight gain
fatigue,tired,crippled
fatigue,tired,sleepy
fatigue,tired,dopey
fatigue,fatique,zombified
fatigue,fatigue,sick
fatigue,tiredness,portions prob too big
fatigue,exhaustion ,panic attacks
fatigue,physically,withdraws
fatigue,exhaustion ,twitchy
fatigue,tired,weird
fatigue,tired,inside i was still screaming
fatigue,exhausting,floatin
fatigue,tiredness,loss of appetite
fatigue,knocked me sidewards,lost 17 pounds
fatigue,tired,racing heart
fatigue,tired,weak knees
fatigue,pooped out,diarrhea
fatigue,beat up,rash
fatigue,tired,no sleep
fatigue, tired,rls
fatigue,knocked me sidewards,appetite is still terrible
fatigue,exhausting,taste
fatigue,tired,fat
fatigue,beat up,musculo-skeletal pain
fear,scared,stomach cramps
feeling abnormal,zombie,high
feeling abnormal,weird,cravings
feeling abnormal,zombie,musculo-skeletal pain
feeling abnormal,zombie,energy
feeling abnormal,zombie,rocking
feeling abnormal,miserable,weight gain
feeling abnormal,steal your soul,heart will explode
feeling abnormal,tweakin out,burns
feeling abnormal,steal your soul,sad
feeling abnormal,zombified,keeping me up
feeling abnormal,zombiness,throat
feeling abnormal,gorked,withdrawal
feeling abnormal,haze,sedated 
feeling abnormal,in a fog,sick
feeling abnormal,weird,raised my blood pressure
feeling abnormal,zombie,priapism
feeling abnormal,zombie,crippled
feeling abnormal,zombified,heart arrhythmia
feeling abnormal,lo0o0py,murdering my mind
feeling abnormal,zombified,addiction
feeling abnormal,twerk me out,not dangerous but it is damn unpleasant
feeling abnormal,tweakin out,reaction
feeling abnormal,zombie-ness,addiction
feeling abnormal,steal your soul,fluid retention
feeling abnormal,zombie,messing with my sleep
feeling abnormal,floatin,irritated
feeling abnormal,lo0o0py,retarded
feeling abnormal,loopy,sleepy
feeling abnormal,steal your soul,intense dreams
feeling abnormal,zombies,headaches
feeling abnormal,weird,bizarre thoughts
feeling abnormal,haze,crazier
feeling abnormal,gorked,cant feel my throat
feeling abnormal,feeling weird,put much weight on
feeling abnormal,zombified,screwing with my memory
feeling abnormal,wonky,bloated
feeling abnormal,zombified,antipsychotics
feeling abnormal,floatin,descent into madness
feeling abnormal,miserable,tiered
feeling abnormal,steal your soul,tear my own face off &amp; eat it
feeling abnormal,zombie,behaving oddly
feeling cold,cold,knocked me out
feeling drunk,drunk,twitchy
feeling drunk,dying,crazier
feeling drunk,dying,nosleep
feeling drunk,drunk,back to sleep
feeling drunk,dying,back
feeling hot,feel hot,destroy myself
feeling jittery,jitters,nocturnal
feeling of despair,desperation,not sleeping
flat affect,flat,heart arrhythmia
flat affect,flat,can't think as fast
fluid retention,fluid retention,walking dead
fluid retention,fluid retention,back pain
fluid retention,water weight,addiction
fluid retention,fluid retention,hating food
fluid retention,fluid retention,cravings
food aversion,hating food,fuzziness
food aversion,food just looks/sounds/tastes fucking disgusting,awake all night
food craving,cravings,add
food craving,cravings ,arms just keep getting worse.
food craving,cravings,doesn't even work for me anymore
food craving,cravings,legs
food craving,carb cravings,walking dead
food craving,carb cravings,get the horn my life
frequent bowel movements,continuous shitting,restless legs
gait disturbance,limping,weight gain
gait disturbance,limping ,leg aches
gait disturbance,limping,eh whatever
gait disturbance,staggering,hangover
gait inability,cant really walk,oww
gait inability,crippled,addictive
gait inability,cant really walk,withdrawal
gait inability,crippled,suicidal
gait inability,disable,slow turtle
gait inability,crippled,wired
gait inability,crippled,inability to cry
gait inability,disable,weight
gait inability,crippled,addict
galactorrhoea,breastmilk production,allergic reaction
gastrointestinal pain,gastro pain,bad dreams
glaucoma,glaucoma,dreams
haemorrhage,bloodbath,dizziness
hallucination,hallucinate ,yawn
hallucination,hallucinations,feel so drink
hallucination,hallucinations,pins &amp; needles
hangover,hungover,added 1 stone
hangover,hangovers,addictive
hangover,hangover,numb to feel
hangover,hungover,withdrawal
hangover,hangover,weight gain
hangover,hungover,restlesslegs
hangover,hangover,manic reactions
headache,headache,come too fast
headache,headaches,angry
headache,headache,vomits
headache,headaches,weight
headache,headache,cry
headache,headache,hangovers
headache,headache,fluid retention
headache,headaches,fluid retention
headache,headache,sleep for 11 hours
headache,headaches,rebound
headache,headaches,tummy trouble
headache,headaches,jacked up
headache,headache,horrible sleep
headache,headaches,angry
headache,headache,fluid retention
headache,headaches,blurry-eyed
headache,headache,miserable
headache,headaches,passes out
heart rate abnormal,heart attack,rage breaking things
heart rate abnormal,heart attack,rash
heart rate increased,fast pulse,ache
heart rate increased,fast pulse,dizzy
heart rate irregular,heart rate,won't you let me eat
heart rate irregular,heart started lurching,craving
hot flush,hotflashes,falling into a realm of utter disillusion
hunger,munchies,can't sleep
hunger,hungry,cotton mouth
hunger,hungry,gain alot of weight
hunger,hungry,ocd
hunger,hungry,ache
hunger,hungry,twice as drunk
hunger,hungry,parasthesia
hunger,munchies,zombieish
hunger,hungry,feeling weird
hunger,munchies,withdrawal
hunger,hungry,zombie
hunger,hunger,pinsandneedles
hyperacusis,eyeballs make a sound,toxicity
hyperaesthesia,hyper-sensitive,able to sleep at night
hyperhidrosis,sweaty,lucid dreaming
hyperhidrosis,sweating,feeling like a train wreck
hyperhidrosis,sweating,taken control of my eyes
hyperhidrosis,sweating,pain
hyperhidrosis,sweaty,siiiiiiiiiiiiiiick
hyperhidrosis,sweating,intense dreams
hyperhidrosis,sweating,shoulder ache
hyperhidrosis,sweating, withdrawls
hyperphagia,portions prob too big,cry
hypersensitivity,reaction,gaining weight
hypersensitivity,reaction,pee way too much
hypersensitivity,reaction,cleaned my entire kitchen
hypersensitivity,allergic reaction,hip
hypersensitivity,reaction,feels like when you come off heroin
hypersensitivity,allergic reaction ,tremors
hypersensitivity,allergic reaction,pain
hypersensitivity,allergic reaction ,prop my eyelids open
hypersensitivity,allergic reaction,coming of it was horrific
hypersensitivity,reaction,heart attack
hypersensitivity,allergic,withdrawals
hypersensitivity,allergic reaction,energy
hypersensitivity,allergic reaction,libido
hypersomnia,sleep for 11 hours,ulcers in mouth
hypersomnia,asleep 24/7,irritability
hypersomnia,sleep for days,got ten minutes of sleep
hypersomnia,17h sleep,hunger inducing
hypersomnia,asleep 24/7,addicted
hypersomnia,sleep for 12 hours,sick to my stomach
hypersomnia,sleep for 11 hours,tingling
hypersomnia,sleep for days,migraines
hypersomnia,sleep for 12 hours,dark night of the soul
hypersomnia,sleep for dayyssss,increase my weight
hypomania,hypomania,dry-mouth
hypotension,blood pressure low,drowsy
illogical thinking,bizarre thoughts,resisting it
illusion,acid like trips,burned
immobile,mobile,sweats
increased appetite,eating,stopped working
increased appetite,eating,driving me insane
increased appetite,"just eat, and eat",hurt
increased appetite,increased appetite,keeping me up
increased appetite,increase my appetite,weight gain
increased appetite,eat so much,14 hour nap
influenza like illness,flu symptoms,raised my blood pressure
influenza like illness,flu iike symptoms,tremors
influenza like illness,flu symptoms,crippled
injection site pain,burns,hurt
injection site pain,burns,food just looks/sounds/tastes fucking disgusting
insomnia,sleep,not being able to fit into summer wardrobe
insomnia,insomnia,dry mouth
insomnia,sleepless,put on weight
insomnia,insomnia,allergic
insomnia,can't go back to sleep,crazier
insomnia,not sleeping,addiction
insomnia,not sleeping,make those numbers bigger
insomnia,insomniac,depressed
insomnia,insomnia,joint problems
insomnia,sleepless,weight gain
insomnia,sleep less,troubles waking up
insomnia,nocturnal,lost effectiveness
insomnia,sleep less,aches
insomnia,vampire,rls
insomnia,insomnia,body ache
insomnia,not sleeping,gain 20 lbs
insomnia,need to sleep,nuasea
insomnia,got ten minutes of sleep,stress incontinence
insomnia,sleep less,saliva
insomnia,haven't slept,tweaking
insomnia,can't go back to sleep,throat
insomnia,insomnia,rage
insomnia,able to sleep at night,make me a bigger asshole
insomnia,sleep,stopped working
insomnia,awake,fatigue
insomnia,got ten minutes of sleep,don't eat
insomnia,want to sleeeeep,difficult to wake up
insomnia,sleepless,don't want to get up
insomnia,can't sleep,tiredness
insomnia,can't sleeeep,dreams became vivider
insomnia,sleepless,withdrawal
insomnia,stay up all night,pale
insomnia,insomniac,restlessness
insomnia,got ten minutes of sleep,priapism
insomnia,insomnia,breastmilk production
insomnia,never sleep,sedated 
insomnia,stay up all night,sleeping 12 hours a night
insomnia,sleep,interfering with my visions
insomnia,need to sleep,can't eat
insomnia,sleep,drunk
insomnia,insomnia,burnt
insomnia,sleep less,breath smells
insomnia,sleepless,sleeping 9 hours in the day
insomnia,vampire,wonky
insomnia,no sleep,hurt
insomnia,don't sleep,sleepy
insomnia,got ten minutes of sleep,tiered
insomnia,cant sleep,equivalent to torture
insomnia,no sleeping,may not switch your brain off
insomnia,want to sleeeeep,dries mouth
irritability,grumpy,grind my teeth
irritability,hating the world,unresponsible
irritability,hating the world,addictive
irritability,torn faced,neck
irritability,irritated,whacks me out
irritability,irritable,withdrawal
irritability,irritable,doesn't care about my bed time
jc virus infection,jcv,cant sleep
laziness,stay in shape,hypomania
lethargy,lethargy,tweaking
lethargy,lethargy,headache
lethargy,lethargic,look like a whale
limb injury,blew out my arms,irritating my nerve endings
limb injury,blew out my arms,confusion
limb injury,blew out my arms,like taking rat poison
logorrhoea,talk a mile a minute,withdrawal
loss of consciousness,knock me the fuck out ,dizzing
loss of consciousness,knock me the fuck out ,deliriousness
loss of consciousness,knocks you outttttttt,lupus flare
loss of libido,dead from the waist down,withdrawn 
loss of libido,might notice if i got hit in the crotch w/ a lance in a jousting accident,almost died
loss of libido,look at my farrah fawcett poster,blew out my arms
loss of libido,you are so horny and i am not,can't sleep
loss of libido,killed my libido,gaining weight
loss of libido,sex drive,allergic reaction
loss of libido,"dont get it, sex",dream
loss of libido,killed my libido,gaps in memory
loss of libido,look at my farrah fawcett poster,withdrawals
loss of libido,you are so horny and i am not,face break out
loss of libido,you are so horny and i am not,aching knees
lung disorder,lung issues,feeling like absolute shit
lung disorder,lungs,cravings
lung disorder,destroyed my lungs,seizures
malaise,sick,weight gain
malaise,sick,sleep less
malaise,sick,rip out my teeth
malaise,yucky,back
malaise,nasty,weight i put on
malaise,3 days of hell,withdrawals
malaise,nasty,lupus flare
malaise,feel like shit,back ache
malaise,sick,aches
malaise,equivalent to torture,aches
malaise,feel like crap,sleep
malaise,feel like shit,insomnia
malaise,wrecked,heart stopped
malaise,ill,feel so drink
malaise,sick,drip
malaise,feel so ick,drunk
malaise,sick,mobile
malaise,sick,makes me an asshole
malaise,sick,sleep
malaise,sick,central nervous system breakdown
malaise,fucked up,addiction
malaise,like taking rat poison,fewer hours sleep
malaise,sick,put on weight
malaise,feeling ill,can't sleep
malaise,like taking rat poison,rash
malaise,kicking my ass,dreams
malaise,feeling like absolute shit,hallucinate 
malaise,sick,17h sleep
malaise,yucky,bizarre thoughts
malaise,sick,aches
malaise,feeling like a train wreck,portions prob too big
malaise,sick,lethargic
malaise,messed me up,overheating
malaise,feel so ick,rebound
malaise,sick,burnt
malaise,sick,wired
malaise,3 days of hell,gain weight
malaise,yucky,never have another orgasm
malaise,wrecked,gastic upset
malaise,feeling like shit,cry 
malaise,terrifying,migraines
mania,manic,turn peaceful people into the hulk
mania,manic,allergic
mania,mania,stressful
memory impairment,memory,headache
memory impairment,amnesic,look like a whale
memory impairment,amnesic,might notice if i got hit in the crotch w/ a lance in a jousting accident
memory impairment,gaps in memory,eh whatever
memory impairment,value your brain cells,slow
memory impairment,memory,withdrawal
memory impairment,memory,not eat
mental disorder,driving me insane,dehydrate
mental disorder,driving me insane,able to sleep at night
mental fatigue,mentally drained,vomit
mental impairment,descent into madness,dry mouth
mental impairment,symptoms of schizophrenia,sleep
mental impairment,retarded,nauaea
mental impairment,descent into madness,memory loss
mental impairment,symptoms of schizophrenia,cant get up
mental impairment,retarded,nap
mental impairment,descent into madness,sick
mental impairment,barely function,shooting pains down arms &amp; legs
mental impairment,wreck my head,mania
mental impairment,brain is melting,drunk
mental impairment,barely function,anxiety
mental impairment,brain so retarded,feeling ill
mental impairment,holes in my head,slept horribly
mental impairment,fuck with your head,stop spending all of your income in food
metabolic syndrome,"metabolic"""" syndrome",sedative
migraine,migraines,never sleep
migraine,migraines,irritating my nerve endings
migraine,migraines,cant sleep
migraine,migraines,hyper
mood swings,mood swings,fast pulse
mood swings,mood swings,raised my blood pressure
mouth ulceration,ulcers in mouth,muscle spasms
muscle spasms,cramps,slept 13-14 hrs
muscle spasms,cramps,"just eat, and eat"
muscle twitching,twitchy,tired
muscle twitching,twitch,rash
musculoskeletal discomfort,neck ache,exhaustion 
musculoskeletal pain,musculo-skeletal pain,toxic
mydriasis,dilated pupils,ill
nasal congestion,sinuses close up,gained 30 lbs
nasal congestion,sinuses close up,pancreatitis
nasal dryness,dry nose,withdrawals
nausea,nauseated,zombie-ness
nausea,nauseous,falling asleep every day
nausea,nauseous,lightheaded
nausea,nauesousness,discomfort
nausea,nauaea,back pain
nausea,sick to my stomach,put on weight
nausea,nausea,light nights sleep
nausea,nuasea,vomit
nausea,nausea,can't sleep
nausea,nausea,hungry
nausea,nauseous,"you can check in, but you can never leave"
nausea,feel disgusting,addicted
nausea,nauesousness,withdraw
nausea,sick to my stomach,craving
nausea,nauseated,ability to cum
nausea,nausea,twitchy
nausea,nausea,fluid retention
nausea,nauesousness,cognitive problems
nausea,nuasea,chest hurt
nausea,nausea,back pain
near death experience,almost died,tummy trouble
near death experience,almost died,sleep paralysis
neck pain,neck,restless legs
neck pain,"neck, back, hip, and leg aches",feet are always going
neck pain,"neck, back, hip, and leg aches",erectile dysfunction
negative thoughts,negative,dreams
nephrolithiasis,kidney stones,eh whatever
nervous system disorder,neuro problems,insomnia
nervous system disorder,neuro problems,irritating my nerve endings
neuralgia,irritating my nerve endings,gain weight
nicotine dependence,craving,urge to vomit
nicotine dependence,craving,nauseous
nightmare,nightmare,bloat
nightmare,nightmares,back pain
nightmare,bad dreams,aches
nightmare,nightmares,addictive
nightmare,nightmares,lost 17 pounds
nightmare,nightmare,flu symptoms
nightmare,horrendous venlafaxine dream,lightweight
nightmare,nightmares,gained 3stone
obsessive-compulsive disorder,ocd,addiction
obsessive-compulsive disorder,ocd,rls
obsessive-compulsive disorder,ocd,shaky
obsessive-compulsive disorder,ocd,reduces libido
obsessive-compulsive disorder,ocd,feel like crap
obsessive-compulsive disorder,ocd,zombified
obsessive-compulsive disorder,ocd,dreams
oedema,oedema,weight
oscillopsia,vision shake,impotency
pain,pain,memory loss
pain,aches and pains,blurry-eyed
pain,pain,retarded
pain,hurt,joint pain
pain,pain,headaches
pain,hurt,mute
pain,pain,lightheadeded 
pain,aches and pains,withdrawals
pain,painful,tremors
pain,painful,tiiiiired
pain,aches,tired
pain,pain,jolting
pain,pain,dehydrate
pain,ache,exhausting
pain,hurt,lightheaded
pain,aching,barely function
pain,ache,tweaking
pain,aches,over think
pain,hurts,nasty
pain,aches,impotency
pain,oww,rant
pain,pain,coming off effexor is not fun
pain,ache,calcium problems
pain,pain,disturbed sleep
pain,body ache,dehydrate
pain,pain,suicidal
pain,hurts,cravings
pain,hurts,gain weight
pain,shooting pains down arms &amp; legs,knocking me about
pain,aches and pains,rip out my teeth
pain,pain,can't eat
pain,hurt,shouldn't wake up
pain,pains,sleep for 11 hours
pain,pain,restless leg syndrome
pain,body ache,withdrawals
pain,painful,yawning
pain in extremity,heels,you are so horny and i am not
pain in extremity,limbs ached,hair falling out
pain in extremity,heels,joint pain
pain in extremity,leg aches,central nervous system breakdown
pain in extremity,leg aches,headache
pain in extremity,heels,cravings
pallor,pale,17h sleep
palpitations,palpitate,can't sleep
palpitations,heart will explode,amnesic
palpitations,heart will explode,hit hard
pancreatitis,pancreatitis,ruined my creativity
panic attack,panic attack,joint problems
panic attack,panic attack,hairloss
panic attack,panic attack,intense dreams
paraesthesia,brain zaps,discontinuation syndrome
paraesthesia,brain zaps,nearly killed me
paraesthesia,paraesthesia,hungry
paraesthesia,paraesthesia,nap time
paraesthesia,brain zaps,amnesic
paraesthesia,brain zaps,dizzy
paraesthesia,brain zaps,gaps in memory
paraesthesia,paraesthesia,torn faced
paraesthesia,paraesthesia,felt like acid
paraesthesia,brain zaps,sleepless
paraesthesia,brain feels like its actually vibrating,sedating
paranoia,paranoia,heels
peripheral swelling,swollen lower legs,doesn't even work for me anymore
peripheral swelling,swollen feet,withdrawals
personality change,make me a bigger asshole,withdrawn 
personality change,messed up my attitude,dreams
personality change,make me a bigger asshole,cotton mouth
personality disorder,mean,grumpy
pharyngeal hypoaesthesia,cant feel my throat,ocd
photosensitivity reaction,cannot be in the sun,heart attack
photosensitivity reaction,tolerance to the sun,descent into madness
photosensitivity reaction,tolerance to the sun,headache
photosensitivity reaction,sun sensitivity,drowsy
pollakiuria,pee so often,respiratory issues
pollakiuria,pee so often,bizarre thoughts
poor peripheral circulation,loss of circulation ,sinuses close up
poor quality sleep,quality,brain zaps
poor quality sleep,quality,arms just keep getting worse.
premature ejaculation,come too fast,amnesic
presyncope,vasovagal pre-syncope,don't eat
priapism,bone,dream
priapism,priapism,brain so retarded
priapism,priapism,munchies
pruritus,itchy skin ,just now wake up
pruritus,itchy skin ,cry 
pruritus,leg is itching,gain weight
psychomotor hyperactivity,hyper,gain alot of weight
psychotic behaviour,psychotic reactions,twirls her hair constantly
psychotic disorder,crazy ish,sobbing
psychotic disorder,psychotic episode,torn faced
psychotic disorder,crazier,zombie
psychotic disorder,crazier,addiction
psychotic disorder,psychotic episode,coming off it
psychotic disorder,psychosis,joint pain
psychotic disorder,falling into a realm of utter disillusion,oww
psychotic disorder,psychosis,toxicity
pyrexia,fever,nausea
rash,rash,migraines
rash,rash,withdrawal
rash,rash,tremors
rash,rash,cant really walk
rash,rash,sleep walking
rash,rash,not being able to fit into summer wardrobe
rash,rash,inability to cry
rash,rash,seizures
rebound effect,rebound,"metabolic"""" syndrome"
rectal tenesmus,feeling like you have to poop,fatigue
respiratory disorder,respiratory probs,joint pain
respiratory disorder,respiratory issues,zombie
restless legs syndrome,restlesslegs,nausea
restless legs syndrome,restless legs,shooting pains down arms
restless legs syndrome,restless legs,aches
restless legs syndrome,rls,irritability
restless legs syndrome,rls,nuasea
restless legs syndrome,restless leg syndrome,increase my weight
restless legs syndrome,rls,rocking
restless legs syndrome,restless arms &amp; legs,sinuses close up
restless legs syndrome,restless leg syndrome ,burned
restless legs syndrome,rls,brain zaps
restless legs syndrome,did make my legs go,zombified
restlessness,restlessness,gained 50
restlessness,restlessness,zombie
restlessness,feet are always going,rage breaking things
restlessness,restlessness,cravings
restlessness,restlessness,lower back ache
restlessness,restlessness,diabetes
restlessness,restlessness,shaky
rheumatoid arthritis,flare,nausea
saliva altered,saliva,added 1 stone
screaming,screaming,"awesome vision, to wearing glasses"
sedation,sedating,back
sedation,hit hard,unconscious
sedation,sedated ,dehydrates
sedation,hit hard,ocd
seizure,seizures,racing heart
seizure,seizures,aches and pains
seizure,seizures,falling asleep every day
self-injurious ideation,destroy myself,allergic reaction
sexual dysfunction,no legit sex,withdrawal
skin disorder,skin issues,flu symptoms
skin disorder,skin issues,gain weight
sleep disorder,horrible sleep,coma
sleep disorder,sleep,hungry
sleep disorder,slept horribly,flare
sleep disorder,fucks up my sleep,reaction
sleep disorder,wrecking my sleep,lethargic
sleep disorder,horrible sleep,jacked up
sleep disorder,light nights sleep,sleep walking
sleep disorder,wrecking my sleep,headaches
sleep disorder,back to sleep,zombie
sleep disorder,dreadful nights sleep,withdrawals
sleep disorder,sleep,eat so much
sleep disorder,back to sleep,grinds the shit out of their teeth
sleep disorder,messed up my sleep,orgasm
sleep disorder,sleep cycle,withdrawal
sleep disorder,messing with my sleep,scared
sleep disorder,horrible sleep,addictive
sleep disorder,disturbed sleep,acne
sleep paralysis,sleep paralysis,body would rock 
sleep paralysis,sleep paralysis,dreams
sleep paralysis,sleep paralysis,pain
sleep terror,night terrors,pain
sluggishness,sluggish,discontinuation syndrome
sluggishness,sloth,nausea
sluggishness,sloth,eating incredibly differently
social avoidant behaviour,withdrawn ,not sleeping
somnambulism,sleep walking,ocd
somnolence,troubles waking up,withdrawn 
somnolence,groggy,weird dreams
somnolence,sleepies,can't eat
somnolence,barely keep my eyes open,rash
somnolence,coma,with drawls
somnolence,nap,heels
somnolence,drowsy,pancreatitis
somnolence,sleepy,hurts
somnolence,sleepy,sobbing
somnolence,prop my eyelids open,diarrhea
somnolence,coma,sweatin
somnolence,sleep right now,3am
somnolence,wont wake,withdrawals
somnolence,like wading through treacle getting up,continuous shitting
somnolence,sleepy,sleepless
somnolence,14 hour nap,addictive
somnolence,barely keep my eyes open,ab pain
somnolence,waking up without knowing i feel asleep,nauseated
somnolence,like wading through treacle getting up,burnt
somnolence,wont wake,zombie
somnolence,sleepy,joint pain
somnolence,sleepy,heart will explode
somnolence,drowsy,restlessness
somnolence,just woke up,headache
somnolence,knackered when i wake,sedated 
somnolence,wont wake,urge to vomit
somnolence,troubles waking up,headaches
somnolence,sleepy,not feeling good
