ENG,term_HLT,term_HLGT,term_SOC
Endoscopy large bowel normal,Gastrointestinal and abdominal imaging procedures,Gastrointestinal investigations,Investigations
Nasal cavity toxicity,Nasal disorders NEC,Upper respiratory tract disorders (excl infections),"Respiratory, thoracic and mediastinal disorders"
Infusion site discharge,Infusion site reactions,Administration site reactions,General disorders and administration site conditions
Galactose urine increased,Carbohydrate tolerance analyses (incl diabetes),"Metabolic, nutritional and blood gas investigations",Investigations
Vulvovaginitis streptococcal,Streptococcal infections,Bacterial infectious disorders,Infections and infestations
Food aversion,General nutritional disorders NEC,Appetite and general nutritional disorders,Metabolism and nutrition disorders
Orthodontic appliance user,Disability issues,Lifestyle issues,Social circumstances
Dysglobulinaemia,Haematological disorders,Haematological disorders NEC,Blood and lymphatic system disorders
Pancreas islet cell transplant,Endocrine gland therapeutic procedures NEC,Endocrine gland therapeutic procedures,Surgical and medical procedures
Computerised tomogram abnormal,Imaging procedures NEC,"Investigations, imaging and histopathology procedures NEC",Investigations
Ventricular parasystole,Ventricular arrhythmias and cardiac arrest,Cardiac arrhythmias,Cardiac disorders
Abdominal distension,"Flatulence, bloating and distension",Gastrointestinal signs and symptoms,Gastrointestinal disorders
Precancerous mucosal lesion,Mucosal findings abnormal,General system disorders NEC,General disorders and administration site conditions
Blood oestrogen abnormal,Reproductive hormone analyses,Endocrine investigations (incl sex hormones),Investigations
Ceruloplasmin increased,Protein analyses NEC,Protein and chemistry analyses NEC,Investigations
Nerve degeneration,Nervous system disorders NEC,Neurological disorders NEC,Nervous system disorders
Renal bruit,Vascular auscultatory investigations,Cardiac and vascular investigations (excl enzyme tests),Investigations
Bone marrow harvest failure,Transplantation complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Benign duodenal neoplasm,Upper gastrointestinal neoplasms benign,Gastrointestinal neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Tidal volume normal,Respiratory and pulmonary function diagnostic procedures,Respiratory and pulmonary investigations (excl blood gases),Investigations
Pseudomonas test,Bacteria identification and serology (excl mycobacteria),Microbiology and serology investigations,Investigations
Ameloblastoma,Lip and oral cavity neoplasms benign,Gastrointestinal neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Malignant lymphoma unclassifiable low grade,Lymphomas unclassifiable malignant,Lymphomas NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Nail toxicity,Nail and nail bed conditions (excl infections and infestations),Skin appendage conditions,Skin and subcutaneous tissue disorders
Stent patency maintenance,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Pelvic haematoma obstetric,Maternal complications of delivery NEC,Maternal complications of labour and delivery,"Pregnancy, puerperium and perinatal conditions"
Micrococcal sepsis,Bacterial infections NEC,Bacterial infectious disorders,Infections and infestations
Therapy interrupted,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Product supply issue,Product supply and availability issues,"Product quality, supply, distribution, manufacturing and quality system issues",Product issues
Glucose-6-phosphate dehydrogenase,Red blood cell analyses,Haematology investigations (incl blood groups),Investigations
Cardiovascular somatic symptom disorder,Somatic symptom disorders,Somatic symptom and related disorders,Psychiatric disorders
Insomnia,Disturbances in initiating and maintaining sleep,Sleep disorders and disturbances,Psychiatric disorders
Urine electrophoresis abnormal,Protein analyses NEC,Protein and chemistry analyses NEC,Investigations
Prealbumin increased,Protein analyses NEC,Protein and chemistry analyses NEC,Investigations
Scratch,Skin injuries NEC,Injuries NEC,"Injury, poisoning and procedural complications"
Steroid therapy,Hormonal therapeutic procedures NEC,Endocrine gland therapeutic procedures,Surgical and medical procedures
Hodgkin's disease mixed cellularity stage IV,Hodgkin's disease mixed cellularity type,Lymphomas Hodgkin's disease,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Trypanosomiasis,Trypanosomal infections,Protozoal infectious disorders,Infections and infestations
Laxative supportive care,Gastrointestinal therapeutic procedures NEC,Gastrointestinal therapeutic procedures,Surgical and medical procedures
Hearing aid user,Disability issues,Lifestyle issues,Social circumstances
Exocrine pancreatic function test abnormal,Digestive enzymes,Gastrointestinal investigations,Investigations
Oral leukoedema,Oral soft tissue disorders NEC,Oral soft tissue conditions,Gastrointestinal disorders
Enterocolitis,Gastrointestinal inflammatory disorders NEC,Gastrointestinal inflammatory conditions,Gastrointestinal disorders
Microcornea,Corneal and scleral disorders congenital,Eye disorders congenital,"Congenital, familial and genetic disorders"
Urine barbiturates decreased,Toxicology laboratory analyses,Toxicology and therapeutic drug monitoring,Investigations
Intestinal haemorrhage,Intestinal haemorrhages,Gastrointestinal haemorrhages NEC,Gastrointestinal disorders
Synovial fluid analysis abnormal,Musculoskeletal and soft tissue tests NEC,Musculoskeletal and soft tissue investigations (excl enzyme tests),Investigations
Aorticopulmonary septal defect,Vascular anomalies congenital NEC,Cardiac and vascular disorders congenital,"Congenital, familial and genetic disorders"
Popliteal pulse decreased,Heart rate and pulse investigations,Cardiac and vascular investigations (excl enzyme tests),Investigations
Mitral valve calcification,Mitral valvular disorders,Cardiac valve disorders,Cardiac disorders
Anti factor X antibody positive,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
Vertical talus,Musculoskeletal and connective tissue disorders of limbs congenital,Musculoskeletal and connective tissue disorders congenital,"Congenital, familial and genetic disorders"
Transurethral bladder resection,Bladder therapeutic procedures,Renal and urinary tract therapeutic procedures,Surgical and medical procedures
Pancreatic sphincterectomy,Pancreatic therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures
Paresis,Paralysis and paresis (excl cranial nerve),Movement disorders (incl parkinsonism),Nervous system disorders
Hypogonadism female,Female gonadal function disorders,Endocrine disorders of gonadal function,Endocrine disorders
Myoglobin blood,Musculoskeletal and soft tissue tests NEC,Musculoskeletal and soft tissue investigations (excl enzyme tests),Investigations
Precursor T-lymphoblastic lymphoma/leukaemia stage III,Precursor T-lymphoblastic lymphomas/leukaemias,Lymphomas non-Hodgkin's T-cell,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Yawning,Upper respiratory tract signs and symptoms,Respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders"
Visual field tests,Ophthalmic function diagnostic procedures,"Neurological, special senses and psychiatric investigations",Investigations
Ovarian cancer stage III,Ovarian neoplasms malignant (excl germ cell),Reproductive neoplasms female malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Psychotic symptom,Psychotic disorder NEC,Schizophrenia and other psychotic disorders,Psychiatric disorders
Myocardial necrosis marker decreased,Skeletal and cardiac muscle analyses,Enzyme investigations NEC,Investigations
Hypovolaemia,Total fluid volume decreased,Electrolyte and fluid balance conditions,Metabolism and nutrition disorders
Swelling face,General signs and symptoms NEC,General system disorders NEC,General disorders and administration site conditions
Catheter site ulcer,Implant and catheter site reactions,Administration site reactions,General disorders and administration site conditions
Soft tissue swelling,Soft tissue disorders NEC,Musculoskeletal and connective tissue disorders NEC,Musculoskeletal and connective tissue disorders
Hartnup disease,Inborn errors of amino acid metabolism,Metabolic and nutritional disorders congenital,"Congenital, familial and genetic disorders"
Dopamine transporter scintigraphy normal,Central nervous system imaging procedures,"Neurological, special senses and psychiatric investigations",Investigations
Pyelotomy,Renal therapeutic procedures,Renal and urinary tract therapeutic procedures,Surgical and medical procedures
Vitreous detachment,"Choroid and vitreous structural change, deposit and degeneration","Ocular structural change, deposit and degeneration NEC",Eye disorders
Fractionated bile acids,Liver function analyses,Hepatobiliary investigations,Investigations
Ultrasound biliary tract,Hepatobiliary imaging procedures,Hepatobiliary investigations,Investigations
Hypopharyngeal synechiae,Pharyngeal disorders (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),"Respiratory, thoracic and mediastinal disorders"
Astragalectomy,Bone therapeutic procedures NEC,Bone and joint therapeutic procedures,Surgical and medical procedures
Congenital multiplex arthrogryposis,Musculoskeletal disorders congenital NEC,Musculoskeletal and connective tissue disorders congenital,"Congenital, familial and genetic disorders"
Skin test positive,Immunology skin tests NEC,Immunology and allergy investigations,Investigations
Total adrenalectomy,Adrenal gland therapeutic procedures,Endocrine gland therapeutic procedures,Surgical and medical procedures
Proteus syndrome,Musculoskeletal disorders congenital NEC,Musculoskeletal and connective tissue disorders congenital,"Congenital, familial and genetic disorders"
Intranasal hypoaesthesia,Nasal disorders NEC,Upper respiratory tract disorders (excl infections),"Respiratory, thoracic and mediastinal disorders"
Diphtheria immunisation,Immunisations,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Lung perforation,Parenchymal lung disorders NEC,Lower respiratory tract disorders (excl obstruction and infection),"Respiratory, thoracic and mediastinal disorders"
Acquired complement deficiency disease,Immune and associated conditions NEC,Immune disorders NEC,Immune system disorders
Pyroglutamate increased,Protein analyses NEC,Protein and chemistry analyses NEC,Investigations
Bone marrow transplant,Haematological therapeutic procedures NEC,Haematological and lymphoid tissue therapeutic procedures,Surgical and medical procedures
Calcium embolism,Non-site specific embolism and thrombosis,Embolism and thrombosis,Vascular disorders
Corynebacterium test,Bacteria identification and serology (excl mycobacteria),Microbiology and serology investigations,Investigations
Ovarian operation,Ovarian therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures
Gastrointestinal haemorrhage,Non-site specific gastrointestinal haemorrhages,Gastrointestinal haemorrhages NEC,Gastrointestinal disorders
Dilatation ventricular,Myocardial disorders NEC,Myocardial disorders,Cardiac disorders
Pulse pressure decreased,Heart rate and pulse investigations,Cardiac and vascular investigations (excl enzyme tests),Investigations
Hepatitis D antigen positive,Virus identification and serology,Microbiology and serology investigations,Investigations
Genetic polymorphism,Genetic polymorphisms,"Chromosomal abnormalities, gene alterations and gene variants","Congenital, familial and genetic disorders"
Leukodystrophy,Lysosomal storage disorders,Metabolic and nutritional disorders congenital,"Congenital, familial and genetic disorders"
Follicle centre lymphoma diffuse small cell lymphoma stage IV,Follicle centre lymphomas diffuse predominantly small cell,Lymphomas non-Hodgkin's B-cell,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Coagulation factor IX level normal,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
Angiogram pulmonary abnormal,Respiratory tract and thoracic imaging procedures,Respiratory and pulmonary investigations (excl blood gases),Investigations
Completed suicide,Suicidal and self-injurious behaviour,Suicidal and self-injurious behaviours NEC,Psychiatric disorders
Blood bromide,Therapeutic drug monitoring analyses,Toxicology and therapeutic drug monitoring,Investigations
Sexual aversion disorder,Sexual desire disorders,"Sexual dysfunctions, disturbances and gender identity disorders",Psychiatric disorders
Citrobacter sepsis,Bacterial infections NEC,Bacterial infectious disorders,Infections and infestations
Blood viscosity abnormal,Haematological analyses NEC,Haematology investigations (incl blood groups),Investigations
Rhonchi,Lower respiratory tract signs and symptoms,Respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders"
Vanillyl mandelic acid urine decreased,Adrenal medulla tests,Endocrine investigations (incl sex hormones),Investigations
Disseminated intravascular coagulation,Coagulopathies,Coagulopathies and bleeding diatheses (excl thrombocytopenic),Blood and lymphatic system disorders
Transvalvular pressure gradient,Cardiac function diagnostic procedures,Cardiac and vascular investigations (excl enzyme tests),Investigations
Foramen magnum stenosis,Musculoskeletal and connective tissue disorders of skull congenital,Musculoskeletal and connective tissue disorders congenital,"Congenital, familial and genetic disorders"
Vascular compression,Non-site specific necrosis and vascular insufficiency NEC,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders
Wheelchair user,Disability issues,Lifestyle issues,Social circumstances
Anti-VGKC antibody positive,Autoimmunity analyses,Immunology and allergy investigations,Investigations
Intestinal transit time increased,Gastrointestinal and abdominal imaging procedures,Gastrointestinal investigations,Investigations
Arteriovenous fistula site infection,Vascular infections,Infections - pathogen unspecified,Infections and infestations
Kell blood group positive,Blood grouping and cross-matching analyses,Haematology investigations (incl blood groups),Investigations
Pulmonary nodular lymphoid hyperplasia,Parenchymal lung disorders NEC,Lower respiratory tract disorders (excl obstruction and infection),"Respiratory, thoracic and mediastinal disorders"
Pyloroplasty,Gastric therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures
Erythropsia,Visual colour distortions,Vision disorders,Eye disorders
CSF lactate dehydrogenase,Cerebrospinal fluid tests (excl microbiology),"Neurological, special senses and psychiatric investigations",Investigations
Spermatozoa morphology,Fertility analyses,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Encapsulation reaction,Mass conditions NEC,Tissue disorders NEC,General disorders and administration site conditions
Hernia,Hernias NEC,General system disorders NEC,General disorders and administration site conditions
Chondroblastoma,Cartilage neoplasms benign,Skeletal neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Spondylitic myelopathy,Spinal cord and nerve root disorders NEC,Spinal cord and nerve root disorders,Nervous system disorders
Paraneoplastic nephrotic syndrome,Glomerulonephritis and nephrotic syndrome,Nephropathies,Renal and urinary disorders
Very low density lipoprotein normal,Cholesterol analyses,Lipid analyses,Investigations
Hereditary disorder,Congenital disorders NEC,Congenital and hereditary disorders NEC,"Congenital, familial and genetic disorders"
Appendicectomy,Large intestine therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures
Intra-abdominal fluid collection,Peritoneal and retroperitoneal disorders,Peritoneal and retroperitoneal conditions,Gastrointestinal disorders
Acute graft versus host disease in skin,Immune and associated conditions NEC,Immune disorders NEC,Immune system disorders
Ex-alcoholic,Alcohol product use,Lifestyle issues,Social circumstances
Spermatocytic seminoma,Testicular neoplasms malignant,Reproductive neoplasms male malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Red blood cell enzymes abnormal,Anaemias congenital (excl haemoglobinopathies),Blood and lymphatic system disorders congenital,"Congenital, familial and genetic disorders"
Free thyroxine index normal,Thyroid analyses,Endocrine investigations (incl sex hormones),Investigations
Uterine peristalsis absent,Uterine disorders NEC,"Uterine, pelvic and broad ligament disorders",Reproductive system and breast disorders
Urine mercury,Toxicology laboratory analyses,Toxicology and therapeutic drug monitoring,Investigations
Upper respiratory tract endoscopy,Respiratory tract and thoracic imaging procedures,Respiratory and pulmonary investigations (excl blood gases),Investigations
Candida pneumonia,Candida infections,Fungal infectious disorders,Infections and infestations
Polyglandular autoimmune syndrome type I,Polyglandular endocrine disorders,Endocrine and glandular disorders NEC,Endocrine disorders
Malignant melanoma of sites other than skin,Neoplasms malignant site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Sciatic nerve injury,Peripheral nerve injuries,Injuries NEC,"Injury, poisoning and procedural complications"
Pacemaker syndrome,Cardiac complications associated with device,Complications associated with device,General disorders and administration site conditions
Oxycephaly,Musculoskeletal and connective tissue disorders of skull congenital,Musculoskeletal and connective tissue disorders congenital,"Congenital, familial and genetic disorders"
Cephalin flocculation,Protein analyses NEC,Protein and chemistry analyses NEC,Investigations
Photodynamic therapy,Phototherapies,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Congenital viral hepatitis,Viral infections congenital,Infections and infestations congenital,"Congenital, familial and genetic disorders"
Carotid artery occlusion,Central nervous system haemorrhages and cerebrovascular accidents,Central nervous system vascular disorders,Nervous system disorders
Mediastinal biopsy abnormal,Respiratory tract and thoracic histopathology procedures,Respiratory and pulmonary investigations (excl blood gases),Investigations
Kidney malformation,Renal disorders congenital,Renal and urinary tract disorders congenital,"Congenital, familial and genetic disorders"
Arthritis bacterial,Bacterial infections NEC,Bacterial infectious disorders,Infections and infestations
Mesenteric abscess,Abdominal and gastrointestinal infections,Infections - pathogen unspecified,Infections and infestations
Urine glucose/creatinine ratio decreased,Urinalysis NEC,Renal and urinary tract investigations and urinalyses,Investigations
Vitritis,"Retinal, choroid and vitreous infections and inflammations","Ocular infections, irritations and inflammations",Eye disorders
Abscess of eyelid,Eye and eyelid infections,Infections - pathogen unspecified,Infections and infestations
Vena cava thrombosis,Vena caval embolism and thrombosis,Embolism and thrombosis,Vascular disorders
Gallbladder oedema,Gallbladder disorders NEC,Gallbladder disorders,Hepatobiliary disorders
Colposcopy normal,Reproductive organ and breast imaging procedures,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Malabsorption,Malabsorption syndromes,Malabsorption conditions,Gastrointestinal disorders
Recurrent cancer,Neoplasms malignant site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Radiation necrosis,Radiation injuries,Injuries by physical agents,"Injury, poisoning and procedural complications"
Prostate examination normal,Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations
Nesidioblastosis,Hypoglycaemic conditions NEC,Glucose metabolism disorders (incl diabetes mellitus),Metabolism and nutrition disorders
Hypoparathyroidism secondary,Hypoparathyroid disorders,Parathyroid gland disorders,Endocrine disorders
Microblepharoexfoliation procedure,Eyelid therapeutic procedures,Eye therapeutic procedures,Surgical and medical procedures
Cardiac index normal,Cardiac function diagnostic procedures,Cardiac and vascular investigations (excl enzyme tests),Investigations
Elder abuse,Criminal activity,Legal issues,Social circumstances
Bladder malposition acquired,Bladder disorders NEC,Bladder and bladder neck disorders (excl calculi),Renal and urinary disorders
Total sperm count,Fertility analyses,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Malignant ascites,Oncologic complications and emergencies,Neoplasm related morbidities,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Injection site ischaemia,Injection site reactions,Administration site reactions,General disorders and administration site conditions
Protein albumin ratio normal,Protein analyses NEC,Protein and chemistry analyses NEC,Investigations
Reproductive hormone,Reproductive hormone analyses,Endocrine investigations (incl sex hormones),Investigations
Oxalosis,Metabolic disorders NEC,Metabolism disorders NEC,Metabolism and nutrition disorders
Osteopathia striata,Non-site specific bone disorders congenital,Musculoskeletal and connective tissue disorders congenital,"Congenital, familial and genetic disorders"
Apheresis related complication,Transfusion related complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Congenital iris anomaly,Iris and choroid disorders congenital,Eye disorders congenital,"Congenital, familial and genetic disorders"
Malignant catatonia,Decreased physical activity levels,Changes in physical activity,Psychiatric disorders
Osmotic demyelination syndrome,Demyelinating disorders NEC,Demyelinating disorders,Nervous system disorders
Gastric adenoma,Upper gastrointestinal neoplasms benign,Gastrointestinal neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Dilatation intrahepatic duct acquired,Structural and other bile duct disorders,Bile duct disorders,Hepatobiliary disorders
Choanal stenosis,Pharyngeal disorders congenital,Respiratory disorders congenital,"Congenital, familial and genetic disorders"
Illiteracy,Educational issues,Lifestyle issues,Social circumstances
Carpal collapse,Joint related disorders NEC,Joint disorders,Musculoskeletal and connective tissue disorders
Seborrhoea,Sebaceous gland disorders,Skin appendage conditions,Skin and subcutaneous tissue disorders
Hyperphosphatasaemia,Metabolic disorders NEC,Metabolism disorders NEC,Metabolism and nutrition disorders
Waldenstrom's macroglobulinaemia stage II,Waldenstrom's macroglobulinaemias,Lymphomas non-Hodgkin's B-cell,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Non-compaction cardiomyopathy,Cardiac disorders congenital NEC,Cardiac and vascular disorders congenital,"Congenital, familial and genetic disorders"
Laryngeal ventricle prolapse,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),"Respiratory, thoracic and mediastinal disorders"
Coagulation factor XI level increased,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
Bed rest,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Tracheal fistula repair,Tracheal therapeutic procedures,Respiratory tract therapeutic procedures,Surgical and medical procedures
Lung hyperinflation,Lower respiratory tract signs and symptoms,Respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders"
Ovarian germ cell teratoma stage III,Ovarian germ cell neoplasms malignant,Reproductive neoplasms female malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Pericarditis uraemic,Noninfectious pericarditis,Pericardial disorders,Cardiac disorders
Blister rupture,Bullous conditions,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders
Exposure keratitis,"Corneal infections, oedemas and inflammations","Ocular infections, irritations and inflammations",Eye disorders
Necrotic angiodermatitis,Skin and subcutaneous tissue ulcerations,Skin and subcutaneous tissue disorders NEC,Skin and subcutaneous tissue disorders
Spinal cord oedema,Spinal cord and nerve root disorders NEC,Spinal cord and nerve root disorders,Nervous system disorders
Intestinal polyp,Benign neoplasms gastrointestinal (excl oral cavity),Benign neoplasms gastrointestinal,Gastrointestinal disorders
Venous ligation,Venous therapeutic procedures,Vascular therapeutic procedures,Surgical and medical procedures
Ultrasound breast abnormal,Reproductive organ and breast imaging procedures,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Limbal swelling,"Ocular infections, inflammations and associated manifestations","Ocular infections, irritations and inflammations",Eye disorders
CARD9 deficiency,Immune system abnormalities congenital,Immune system disorders congenital,"Congenital, familial and genetic disorders"
Foetal malnutrition,Foetal growth complications,Foetal complications,"Pregnancy, puerperium and perinatal conditions"
Parkinson's disease,Parkinson's disease and parkinsonism,Movement disorders (incl parkinsonism),Nervous system disorders
Proctoscopy normal,Gastrointestinal and abdominal imaging procedures,Gastrointestinal investigations,Investigations
Device electrical finding,Device electrical issues,Device issues,Product issues
Hearing disability,Disability issues,Lifestyle issues,Social circumstances
Culdoscopy,Reproductive organ and breast imaging procedures,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Enthesophyte,Tendon disorders,"Tendon, ligament and cartilage disorders",Musculoskeletal and connective tissue disorders
Chiasma syndrome,Neurologic visual problems NEC,Neurological disorders of the eye,Nervous system disorders
Tracheobronchial dyskinesia,Tracheal disorders (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),"Respiratory, thoracic and mediastinal disorders"
Extranodal marginal zone B-cell lymphoma (MALT type) refractory,Extranodal marginal zone B-cell lymphomas (low grade B-cell),Lymphomas non-Hodgkin's B-cell,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
CYP2C19 polymorphism,Genetic polymorphisms,"Chromosomal abnormalities, gene alterations and gene variants","Congenital, familial and genetic disorders"
Paresis anal sphincter,Anal and rectal disorders NEC,Anal and rectal conditions NEC,Gastrointestinal disorders
Physical disability,Disability issues,Lifestyle issues,Social circumstances
Progesterone decreased,Reproductive hormone analyses,Endocrine investigations (incl sex hormones),Investigations
Incorrect dose administered,Product administration errors and issues,Medication errors and other product use errors and issues,"Injury, poisoning and procedural complications"
Aortic stenosis,Aortic necrosis and vascular insufficiency,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders
"Inguinal hernia, obstructive",Inguinal hernias,Abdominal hernias and other abdominal wall conditions,Gastrointestinal disorders
Nail pitting,Nail and nail bed conditions (excl infections and infestations),Skin appendage conditions,Skin and subcutaneous tissue disorders
Meningitis toxoplasmal,Toxoplasma infections,Protozoal infectious disorders,Infections and infestations
Paranasal sinus haemorrhage,Paranasal sinus disorders (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),"Respiratory, thoracic and mediastinal disorders"
Vascular access site pain,Cardiac and vascular procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Phlebotomus fever,Phleboviral infections,Viral infectious disorders,Infections and infestations
Blood glucose decreased,Carbohydrate tolerance analyses (incl diabetes),"Metabolic, nutritional and blood gas investigations",Investigations
Vulval cellulitis,Bacterial infections NEC,Bacterial infectious disorders,Infections and infestations
Vulvovaginal inflammation,Vaginal and vulval infections and inflammations,Female reproductive tract infections and inflammations,Reproductive system and breast disorders
Arthrectomy,Joint therapeutic procedures,Bone and joint therapeutic procedures,Surgical and medical procedures
Thyroid size decreased,Thyroid disorders NEC,Thyroid gland disorders,Endocrine disorders
Radiation corneal injury,Radiation injuries,Injuries by physical agents,"Injury, poisoning and procedural complications"
Intracerebral haematoma evacuation,Skull and brain therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures
Beta haemolytic streptococcal infection,Streptococcal infections,Bacterial infectious disorders,Infections and infestations
Mannose-binding lectin deficiency,Immune system abnormalities congenital,Immune system disorders congenital,"Congenital, familial and genetic disorders"
Umbilical cord occlusion,Umbilical cord complications,Neonatal and perinatal conditions,"Pregnancy, puerperium and perinatal conditions"
Von Willebrand's factor antigen increased,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
Wrong device used,"Medication errors, product use errors and issues NEC",Medication errors and other product use errors and issues,"Injury, poisoning and procedural complications"
Appendiceal mucocoele,Gastrointestinal disorders NEC,Gastrointestinal conditions NEC,Gastrointestinal disorders
Blood viscosity increased,Haematological analyses NEC,Haematology investigations (incl blood groups),Investigations
Testicular neoplasm,Reproductive neoplasms male unspecified malignancy,Reproductive neoplasms male malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Intentional overdose,Overdoses NEC,Overdoses and underdoses NEC,"Injury, poisoning and procedural complications"
Renal artery occlusion,Renal vascular and ischaemic conditions,Renal disorders (excl nephropathies),Renal and urinary disorders
Clotting factor transfusion,Blood and blood product treatment,Haematological and lymphoid tissue therapeutic procedures,Surgical and medical procedures
Pulmonary valve thickening,Pulmonary valvular disorders,Cardiac valve disorders,Cardiac disorders
Peritoneal permeability decreased,Peritoneal fluid and membrane function analyses,Gastrointestinal investigations,Investigations
Dissociation,Dissociative states,Dissociative disorders,Psychiatric disorders
Anti-sperm antibody positive,Autoimmunity analyses,Immunology and allergy investigations,Investigations
Infusion related reaction,Non-site specific procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Eyelid disorder,Ocular disorders NEC,Eye disorders NEC,Eye disorders
Metatarsus primus varus,Musculoskeletal and connective tissue disorders of limbs congenital,Musculoskeletal and connective tissue disorders congenital,"Congenital, familial and genetic disorders"
Strokectomy,Skull and brain therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures
Prostate cancer stage III,Prostatic neoplasms malignant,Reproductive neoplasms male malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Myxoid cyst,Dermal and epidermal conditions NEC,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders
Brachytherapy to breast,Breast radiotherapies,Breast therapeutic procedures,Surgical and medical procedures
HELLP syndrome,Hypertension associated disorders of pregnancy,Maternal complications of pregnancy,"Pregnancy, puerperium and perinatal conditions"
Stoma site vasculitis,Stoma complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Abetalipoproteinaemia,Inborn errors of lipid metabolism,Metabolic and nutritional disorders congenital,"Congenital, familial and genetic disorders"
Iliotibial band syndrome,"Muscle, tendon and ligament injuries",Injuries NEC,"Injury, poisoning and procedural complications"
Hypovitaminosis,Vitamin deficiencies NEC,Vitamin related disorders,Metabolism and nutrition disorders
Capillary fragility abnormal,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
Hereditary angioedema with C1 esterase inhibitor deficiency,Gene mutations and other alterations NEC,"Chromosomal abnormalities, gene alterations and gene variants","Congenital, familial and genetic disorders"
Glucose urine absent,Urinalysis NEC,Renal and urinary tract investigations and urinalyses,Investigations
Chemokine test,Immune response protein analyses NEC,Immunology and allergy investigations,Investigations
Lung adenocarcinoma recurrent,Non-small cell neoplasms malignant of the respiratory tract cell type specified,Respiratory and mediastinal neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Reduced bladder capacity,Bladder disorders NEC,Bladder and bladder neck disorders (excl calculi),Renal and urinary disorders
Achenbach syndrome,"Bruising, ecchymosis and purpura",Vascular haemorrhagic disorders,Vascular disorders
