,LLT,PT
44014,"open dislocation, seventh cervical vertebra",dislocation of vertebra
44015,histoplasmosis nos,histoplasmosis
44016,peritoneal effluent basophil count increased,peritoneal effluent leukocyte count increased
44017,extragonadal primary germ cell tumour mixed incl choriocarcinoma stage i,extragonadal primary germ cell tumour mixed stage i
44018,communicating hydrocephalus,hydrocephalus
44019,anal discomfort,anorectal discomfort
44020,disorder anus,anorectal disorder
44021,carcinoma mouth,lip and/or oral cavity cancer
44022,endemic type hemorrhagic sarcoma,kaposi's sarcoma
44023,coronary vascular spasm,arteriospasm coronary
44024,pefr normal,peak expiratory flow rate normal
44025,squamous cell carcinoma of the face,squamous cell carcinoma of skin
44026,nocturnal cough,cough
44027,esophageal squamous cell carcinoma lower third stage ii,oesophageal squamous cell carcinoma stage ii
44028,crawling sensation of skin,formication
44029,subacute leukemia of unspecified cell type in remission,leukaemia in remission
44030,paludism,malaria
44031,mammary duct obstruction,galactostasis
44032,"inguinal hernia, with gangrene",inguinal hernia gangrenous
44033,congenital tibial bowing,congenital bowing of long bones
44034,"fracture of lower end of femur, open",femur fracture
44035,lymphoid interstitial myocarditis,myocarditis
44036,feeling of gastrointestinal fullness,abdominal distension
44037,"transient hypertension of pregnancy, antepartum",gestational hypertension
44038,dilated veins,vasodilatation
44039,medical treatment contraindicated,contraindication to medical treatment
44040,tumourectomy,tumour excision
44041,"fracture of unspecified part of neck of femur, closed",femoral neck fracture
44042,subcutaneous panniculitic t-cell lymphoma (provisional subtype) stage i,peripheral t-cell lymphoma unspecified stage i
44043,"synovial cyst, unspecified",synovial cyst
44044,eeg ground activity decreased,electroencephalogram abnormal
44045,vascular access site hemorrhage,vascular access site haemorrhage
44046,adma increased,asymmetric di-methylarginine increased
44047,normal birth,delivery
44048,hereditary inclusion body myopathy,gne myopathy
44049,interstitial pneumonia,interstitial lung disease
44050,advanced bone age,epiphyses premature fusion
44051,beri beri,vitamin b1 deficiency
44052,blood sugar abnormal,blood glucose abnormal
44053,failed reversal of sterilisation,sterilisation reversal
44054,tracheal collapse,tracheomalacia
44055,deep venous thrombosis femoral,deep vein thrombosis
44056,fat atrophy nos,lipoatrophy
44057,small intestinal stenosis nos,small intestinal stenosis
44058,atrial flutter with rapid ventricular response,atrial flutter
44059,haemorrhage of liver,hepatic haemorrhage
44060,scan nos normal,scan normal
44061,blood dihydrotestosterone decreased,dihydrotestosterone decreased
44062,psoriasis facial,psoriasis
44063,inadequate exercise,exercise lack of
44064,pleural haemorrhage,haemothorax
44065,juvenile seropositive polyarticular disease,juvenile idiopathic arthritis
44066,reticulum cell count,reticular cell count
44067,abasia,gait inability
44068,cranioencephalic trauma,craniocerebral injury
44069,muscle soreness,myalgia
44070,benign bone neoplasm nos,benign bone neoplasm
44071,capsulorrhexis,lens capsulotomy
44072,sodium abnormal nos,blood sodium abnormal
44073,langerhans' cell granulomatosis,langerhans' cell histiocytosis
44074,ulcer gastrojejunal,anastomotic ulcer
44075,"unspecified intrapelvic protrusion of acetabulum, site unspecified",joint dislocation
44076,upper respiratory disorder,respiratory disorder
44077,oedema trunk,localised oedema
44078,disorders of urea cycle metabolism,urea cycle disorder
44079,inappropriate elation,inappropriate affect
44080,cystourethrectomy,urinary cystectomy
44081,hearing loss bilateral,deafness bilateral
44082,telangiectasia congenital nos,telangiectasia congenital
44083,"left otitis media (acute, non-supp)",otitis media acute
44084,oedema pharynx,pharyngeal oedema
44085,abnormality of forces of labor,abnormal labour
44086,guinon's myospasia impulsiva,tourette's disorder
44087,hypoesthesia lips,hypoaesthesia oral
44088,wrong drug dispensed,product dispensing error
44089,benign epididymal neoplasm nos,benign neoplasm of epididymis
44090,sensation of inadequate defecation,gastrointestinal motility disorder
44091,gangrenous appendicitis,complicated appendicitis
44092,impulse-control disorder nos,impulse-control disorder
44093,cibophobia,sitophobia
44094,legionellal pneumonia,pneumonia legionella
44095,dermatophytosis nos,dermatophytosis
44096,ovarian tumor benign,benign ovarian tumour
44097,facial rash,rash
44098,chromogenic factor x activity assay normal,coagulation factor x level normal
44099,gaseous regurgitation,eructation
44100,parotid duct cyst,salivary gland cyst
44101,type iv lipidaemia,type iv hyperlipidaemia
44102,gastrointestinal mucocele,gastrointestinal mucocoele
44103,vaginal adenocarcinoma stage iii,vaginal adenocarcinoma
44104,histology site unspecified normal,histology normal
44105,large intestinal obstruction nos,large intestinal obstruction
44106,"conductive hearing loss, tympanic membrane",conductive deafness
44107,oesophageal dysphagia,dysphagia
44108,blood leak in dialyser,device leakage
44109,mechanical device firing issue,device malfunction
44110,intestinal stenosis nos,intestinal stenosis
44111,peritoneal biopsy normal,biopsy peritoneum normal
44112,peritoneal laceration,peritoneal perforation
44113,carotid body tumor,paraganglion neoplasm
44114,x-ray nos upper limb normal,x-ray limb normal
44115,samter's syndrome,aspirin-exacerbated respiratory disease
44116,surgical dilation of bile duct,biliary tract dilation procedure
44117,falcine meningioma,meningioma
44118,meningitis gram-negative bacterial nos,meningitis bacterial
44119,large intestine endoscopy,endoscopy large bowel
44120,age indeterminate inferoposterior myocardial infarction,myocardial infarction
44121,radioulnar synostosis,elbow synostosis
44122,il-5 therapy,interleukin therapy
44123,carcinoid tumor of the stomach,carcinoid tumour of the stomach
44124,refusal of treatment for reasons of religion of parent,refusal of treatment by relative
44125,device slipped,device dislocation
44126,indurated penis plastica,peyronie's disease
44127,grand mal epilepsy,generalised tonic-clonic seizure
44128,muscle hypotonia,hypotonia
44129,total parenteral nutrition,parenteral nutrition
44130,malignant neoplasm of vulva stage i,vulval cancer stage i
44131,antistreptolysin titre,streptococcus test
44132,rhombencephalitis,encephalitis brain stem
44133,inflammable product caught fire,product caught fire
44134,serum inorganic phosphate decreased,blood phosphorus decreased
44135,b-cell lymphoma nos,b-cell lymphoma
44136,sciatic nerve lesion nos,peripheral nerve lesion
44137,nasopharyngeal abscess,pharyngeal abscess
44138,acquired deformity of neck,neck deformity
44139,ca 549 increased,carbohydrate antigen 549 increased
44140,pituitary amenorrhea,pituitary amenorrhoea
44141,acne medicamentosa,acne
44142,medically induced abortion,abortion induced
44143,goiter congenital,goitre congenital
44144,extrapyramidal syndrome,extrapyramidal disorder
44145,renal insufficiency,renal failure
44146,hypertrophic pulmonary osteoarthropathy,hypertrophic osteoarthropathy
44147,penile hyperesthesia,genital hyperaesthesia
44148,tampon cord detachment,device breakage
44149,"foetal exposure during pregnancy, second trimester",foetal exposure during pregnancy
44150,squamous cell carcinoma of the oral cavity stage i,squamous cell carcinoma of the oral cavity
44151,computerised axial tomography,computerised tomogram
44152,dermatitis solaris,solar dermatitis
44153,hypofunction adrenal,adrenal insufficiency
44154,malignant nervous system neoplasm nos,malignant nervous system neoplasm
44155,gingival dryness,dry mouth
44156,blood phosphate decreased,blood phosphorus decreased
44157,benign bone giant cell tumor,bone giant cell tumour benign
44158,ecchymoses,ecchymosis
44159,functional asplenia,hyposplenism
44160,prosthesis damage,device physical property issue
44161,generalized exfoliative dermatitis,dermatitis exfoliative generalised
44162,fungus body fluid no organisms observed,fungal test negative
44163,anemia from chronic blood loss,iron deficiency anaemia
44164,ck18 increased,cytokeratin 18 increased
44165,alpha tumor necrosis factor,alpha tumour necrosis factor
44166,cmv infection,cytomegalovirus infection
44167,primary malignant neoplasm of liver,hepatic cancer
44168,multiple sclerosis plaque,multiple sclerosis
44169,complication post ileostomy,post procedural complication
44170,pulsed dye laser therapy,laser therapy
44171,cerebellar arterial aneurysm,intracranial aneurysm
44172,"aplastic anaemia, unspecified",aplastic anaemia
44173,reduced therapeutic response with drug substitution,therapeutic response decreased
44174,repair detached retina,retinopexy
44175,vitamin k antagonist,anticoagulant therapy
44176,recurrent ventricular tachycardia,ventricular tachycardia
44177,pluerothotonus,pleurothotonus
44178,aggravated ringing in ears,tinnitus
44179,nuclear magnetic resonance imaging pancreas,magnetic resonance imaging pancreas
44180,poisoning by other central nervous system depressants,toxicity to various agents
44181,withdrawal bleeding,withdrawal bleed
44182,tonsil stone removal,tonsillolith removal
44183,anal itching,anal pruritus
44184,pigment stones,cholelithiasis
44185,acute lymphoid leukemia,acute lymphocytic leukaemia
44186,aphose,visual impairment
44187,reaction to tartrazine,reaction to azo-dyes
44188,lysis bone implant,bone graft lysis
44189,necrotising cellulitis,cellulitis gangrenous
44190,skeletal muscle enzymes nos,skeletal muscle enzymes
44191,overactive child,attention deficit hyperactivity disorder
44192,ocular hemangiopericytoma,ocular haemangiopericytoma
44193,lung function nos,pulmonary function test
44194,slowing of urinary stream,urine flow decreased
44195,periumbilical pain,abdominal pain
44196,loss of smell,anosmia
44197,prolactin,blood prolactin
44198,unspecified open wound of ocular adnexa,eye injury
44199,asthmatic wheezing,wheezing
44200,multiple organ failure,multiple organ dysfunction syndrome
44201,fibroblast interferon therapy,beta interferon therapy
44202,biliary anastomotic stenosis,biliary anastomosis complication
44203,angular cheilosis,angular cheilitis
44204,renal arteriogram abnormal,arteriogram renal abnormal
44205,sacral nerve stimulation,peripheral nerve neurostimulation
44206,proteinase-3 antibody positive,antineutrophil cytoplasmic antibody positive
44207,cervix uteri cancer stage iv,cervix carcinoma stage iv
44208,poisoning by spinal anesthetics,toxicity to various agents
44209,device connection fit issue,device connection issue
44210,nausea in pregnancy,morning sickness
44211,pregnancy disorder,complication of pregnancy
44212,"dislocation of patella, simple",joint dislocation
44213,breast tumour benign,benign breast neoplasm
44214,hepatitis b screen,hepatitis b virus test
44215,hypopotassemia,hypokalaemia
44216,low salt syndrome,hyponatraemic syndrome
44217,disruption of obstetrical perineal wound,postoperative wound complication
44218,swollen glands,lymphadenopathy
44219,acute myeloid leukaemia nos,acute myeloid leukaemia
44220,bloody semen,haematospermia
44221,suppurative thrombophlebitis,thrombophlebitis septic
44222,partial sight,visual impairment
44223,disseminated bcg,disseminated bacillus calmette-guerin infection
44224,plasma thromboplastin abnormal,blood thromboplastin abnormal
44225,clinically-driven non-target vessel coronary revascularisation,coronary revascularisation
44226,acute necrotizing hemorrhagic leukoencephalitis,acute haemorrhagic leukoencephalitis
44227,"obstruction by abnormal pelvic soft tissues during labor, antepartum",obstructed labour
44228,upper respiratory inflammation due to fumes and vapours,respiratory fume inhalation disorder
44229,compulsive sexual behavior,compulsive sexual behaviour
44230,fsps,fibrin degradation products
44231,epidural brain empyema,brain empyema
44232,atrophy of breast,breast atrophy
44233,external cardiac massage,cardiac massage
44234,ascites grade 2,ascites
44235,venous stasis ulcer,skin ulcer
44236,malignant neoplasm of suprarenal gland,adrenal gland cancer
44237,"open dislocation, second cervical vertebra",dislocation of vertebra
44238,oval window fistula,labyrinthine fistula
44239,testicular endodermal sinus tumor stage iii,testicular yolk sac tumour stage iii
44240,double foetal death in twin pregnancy,foetal death
44241,plasma cortisol abnormal,cortisol abnormal
44242,tapse,echocardiogram
44243,ovarian neoplasm nos,ovarian neoplasm
44244,occipital calcification,cerebral calcification
44245,virtual colonoscopy,computerised tomogram intestine
44246,stent-graft endoleak type iii,stent-graft endoleak
44247,interleukin-6 increased,interleukin level increased
44248,vestibulocerebellar ataxia,vestibulocerebellar syndrome
44249,gastric malignancy stage iii,gastric cancer stage iii
44250,retropharyngeal abscess,pharyngeal abscess
44251,ovarian germ cell teratoma stage i c,ovarian germ cell teratoma stage i
44252,hypertrophy gingival,gingival hypertrophy
44253,decreased blood sugar,blood glucose decreased
44254,necrotising gingivitis,gingivitis ulcerative
44255,gamma globulinaemia,hypergammaglobulinaemia
44256,vaginal neoplasm benign,benign vaginal neoplasm
44257,pancreatic carcinoma resectable,pancreatic carcinoma
44258,diabetes with ketoacidosis,diabetic ketoacidosis
44259,ischaemic chest pain,angina pectoris
44260,pancreatic cancer recurrent,pancreatic carcinoma recurrent
44261,thyroid hormone binding index increased,thyroxin binding globulin increased
44262,lacrimation abnormal nos,lacrimation disorder
44263,pyoderma (skin infection),pyoderma
44264,malignant neoplasm of fundus of stomach,gastric cancer
44265,strabotomy,strabismus correction
44266,psychic disturbance,mental disorder
44267,high-flow nasal cannula oxygen therapy,oxygen therapy
44268,open fracture of capitate bone (os magnum) of wrist,wrist fracture
44269,plasma aluminum,blood aluminium
44270,histiocytoma excision,skin neoplasm excision
44271,scalp injury nos,skin injury
44272,perinatal intestinal perforation,neonatal intestinal perforation
44273,head deformity nos,head deformity
44274,open anterior dislocation of elbow,joint dislocation
44275,enamel mottling,tooth discolouration
44276,cystolithotomy,bladder calculus removal
44277,cervicocranial syndrome,sympathetic posterior cervical syndrome
44278,csf bacteria nos identified,bacterial test positive
44279,axenfeld anomaly,anterior chamber cleavage syndrome
44280,testis cancer (excl germ cell),testis cancer
44281,decollete lifting,neck lift
44282,manufacturing production permanently discontinued due to pandemic,manufacturing production issue
44283,glabellar frown lines,skin wrinkling
44284,flash hot,hot flush
44285,blood dyscrasia,blood disorder
44286,acetoacetate,blood ketone body
44287,percutaneous transhepatic biliary drainage catheter removal,biliary catheter removal
44288,spinal subdural bleeding,spinal subdural haemorrhage
44289,pontine bleed,brain stem haemorrhage
44290,mycobacteria tissue specimen test positive,mycobacterium test positive
44291,multiple endocrine neoplasia type i,multiple endocrine neoplasia type 1
44292,postoperative hernia,incisional hernia
44293,l.tropica,leishmaniasis
44294,wound healing delayed,impaired healing
44295,rickettsia australis test positive,spotted fever rickettsia test positive
44296,gastritis haemorrhagic aggravated,gastritis haemorrhagic
44297,"sudden hearing loss, unspecified",sudden hearing loss
44298,cerebellar tumour nos,cerebellar tumour
44299,upper limb x-ray abnormal,x-ray limb abnormal
44300,urinary system x-ray nos,urinary system x-ray
44301,"arthropathy unspecified, involving upper arm",arthropathy
44302,gastrointestinal malfunction arising from mental factors,gastrointestinal somatic symptom disorder
44303,glutamic-pyruvate transaminase increased,alanine aminotransferase increased
44304,"paranoid type schizophrenia, chronic state with acute exacerbation",schizophrenia
44305,viral vaccine exposure via breast milk,exposure via breast milk
44306,interferon gamma low,interferon gamma decreased
44307,gastric cancer in situ,gastric cancer stage 0
44308,paresthesia circumoral,paraesthesia oral
44309,abscess bacterial nos,abscess bacterial
44310,enterocolitis necrotising,necrotising colitis
44311,influenza a h1n1 pneumonia,pneumonia influenzal
44312,acute glomerulonephritis with lesion of proliferative glomerulonephritis,glomerulonephritis acute
44313,hot compress therapy,heat therapy
44314,gum ulceration,gingival ulceration
44315,bladder hyperemia,bladder hyperaemia
44316,hemoglobin abnormal,haemoglobin abnormal
44317,increased prothrombin time percentage activity,prothrombin time prolonged
44318,small non-cleaved cell burkitt's lymphoma (working formulation) refractory,burkitt's lymphoma refractory
44319,osteoneuralgia,bone pain
44320,spider naevi,spider naevus
44321,external thrombosed hemorrhoids,haemorrhoids thrombosed
44322,pneumonia aspergillus,bronchopulmonary aspergillosis
44323,vascular access related sepsis,device related sepsis
44324,monomicrobial non-neutrocytic bacterascites,bacterascites
44325,hypertension retinopathy grade 1,retinopathy hypertensive
44326,tongue bleeding,tongue haemorrhage
44327,paresthesia distal,paraesthesia
44328,mycosis fungoides,cutaneous t-cell lymphoma
44329,dyspepsia aggravated,dyspepsia
44330,hepatitis autoimmune,autoimmune hepatitis
44331,rigidity cogwheel,cogwheel rigidity
44332,leber's hereditary optic atrophy neuropathy,hereditary optic atrophy
44333,barrett's esophagitis with dysplasia,barrett's oesophagus
44334,death of father,death of relative
44335,icsh,blood luteinising hormone
44336,selenium homocholic tauroselcholic acid test,sehcat test
44337,symptomatic bleeding,haemorrhage
44338,scan nos testes abnormal,testicular scan abnormal
44339,elliptocytosis nos,elliptocytosis
44340,stent-graft suture breakage,device breakage
44341,macular focal oedema,macular oedema
44342,"urinary bladder carcinoma stage i, with cancer in situ","bladder cancer stage i, with cancer in situ"
44343,carcinoma in situ of esophagus,oesophageal carcinoma stage 0
44344,pulsating hematoma,vascular pseudoaneurysm
44345,spasm vascular retinal,retinal artery spasm
44346,handicap,disability
44347,dissecting aneurysm of aorta,aortic dissection
44348,familial (fpah),pulmonary arterial hypertension
44349,neuronitis,neuritis
44350,plasma bilirubin normal,blood bilirubin normal
44351,pawp,pulmonary arterial wedge pressure
44352,injury to pulmonary blood vessel,vascular injury
44353,systolic bruit,cardiac murmur
44354,churning of stomach,nausea
44355,"intracranial haemorrhage, unspecified",haemorrhage intracranial
44356,complement 5 dysfunction,complement deficiency disease
44357,pigeon-chested,pectus carinatum
44358,keratitis vascular,keratitis
44359,leg traumatic amputation,limb traumatic amputation
44360,gonadotrophins nos abnormal,blood gonadotrophin abnormal
44361,adjustment reaction with prolonged depressive reaction,adjustment disorder with depressed mood
44362,abdominal hematoma,intra-abdominal haematoma
44363,short sightedness,myopia
44364,urine culture positive viral,viral test positive
44365,degeneration tubular kidney,renal tubular atrophy
44366,"malignant neoplasm of bladder neck stage 0, without cancer in situ","bladder cancer stage 0, without cancer in situ"
44367,urine microalbumin absent,albumin urine absent
44368,pollution nos,pollution
44369,chondrocalcinosis due to dicalcium phosphate crystals,chondrocalcinosis
44370,malignant neoplasm of waldeyer's ring stage iv,pharyngeal cancer stage iv
44371,ostomy takedown,stoma closure
44372,dysphylaxia,insomnia
44373,urine oestrone increased,oestrone increased
44374,urothelial carcinoma urethra regional,transitional cell carcinoma urethra
44375,"latent schizophrenia, chronic state",schizotypal personality disorder
44376,whole body cat normal,computerised tomogram normal
44377,kidney tumours recurrent,renal cancer recurrent
44378,vascular resistance,vascular resistance systemic
44379,hemorrhage cerebellar,cerebellar haemorrhage
44380,disorder accommodation,accommodation disorder
44381,"lymphoid leukemia, subacute",lymphocytic leukaemia
44382,carcinoma bladder recurrent,bladder cancer recurrent
44383,blood bicarbonate low,blood bicarbonate decreased
44384,transcervical resection of the endometrium,endometrial ablation
44385,lung biopsy abnormal,biopsy lung abnormal
44386,variola virus test positive,orthopoxvirus test positive
44387,group b beta hemolytic streptococcus negative,streptococcus test negative
44388,peritoneal bleeding,haemoperitoneum
44389,bee sting,arthropod sting
44390,device colonisation,product contamination microbial
44391,genital irritation,genital discomfort
44392,primary polycythaemia,polycythaemia vera
44393,dark colour vomiting,discoloured vomit
44394,type ii hyperlipoproteinemia,type ii hyperlipidaemia
44395,simple dislocation of elbow,joint dislocation
44396,ulceration of mouth,mouth ulceration
44397,dengue,dengue fever
44398,cerebrospinal fluid electrophoresis abnormal,csf electrophoresis abnormal
44399,cholangitis acute nos,cholangitis acute
44400,malignant neoplasm of sublingual gland stage iii,salivary gland cancer stage iii
44401,biopsy nasopharynx,biopsy pharynx
44402,mobilization of peripheral blood progenitor cells,haematopoietic stem cell mobilisation
44403,device delivery system malfunction,device malfunction
44404,peripheral revascularization,peripheral revascularisation
44405,black pigmentation of hair roots,hair colour changes
44406,high grade prostatic intraepithelial neoplasia,prostatic dysplasia
44407,hyaloiditis,vitritis
44408,postauricular lymphadenopathy,lymphadenopathy
44409,pulmonary hypertension primary,pulmonary arterial hypertension
44410,male pseudohermaphroditism,pseudohermaphroditism male
44411,gastric carcinoid,carcinoid tumour of the stomach
44412,aspergillosis,aspergillus infection
44413,serum sodium abnormal,blood sodium abnormal
44414,"kaschin-beck disease, site unspecified",osteoarthritis
44415,adenocarcinoma gastric stage iv nos,adenocarcinoma gastric
44416,catarrhal oesophagitis,oesophagitis
44417,bpes type ii,bpes syndrome
44418,deep venous thrombosis distal,deep vein thrombosis
44419,microcystic adnexal carcinoma,malignant sweat gland neoplasm
44420,congenital nose malformation nos,congenital nose malformation
44421,abscess of finger,abscess limb
44422,intestinal infection due to unspecified e. coli,gastroenteritis escherichia coli
44423,teeth yellow,tooth discolouration
44424,enlarged thyroid,goitre
44425,wrong drug concentration dispensed,product dispensing error
44426,fifth disease,erythema infectiosum
44427,human herpes virus 6 test positive,roseolovirus test positive
44428,dermal duct tumor,sweat gland tumour
44429,gh decreased,blood growth hormone decreased
44430,leukemia undifferentiated,acute myeloid leukaemia
44431,ileorectal anastomosis,intestinal anastomosis
44432,inappropriate cutting of transdermal patch,wrong technique in product usage process
44433,insufficient dosage,underdose
44434,esophageal adenocarcinoma stage 0,oesophageal adenocarcinoma stage 0
44435,charcot's cirrhosis,primary biliary cholangitis
44436,cancer-associated thrombosis,tumour thrombosis
44437,purpura nos,purpura
44438,traction detachment of retina,tractional retinal detachment
44439,glucose metabolism abnormal,metabolic disorder
44440,pulmonic stenosis,pulmonary valve stenosis
44441,anaesthetic complication circulatory,anaesthetic complication vascular
44442,apragmatism,apathy
44443,psychogenic paranoid psychosis,psychotic disorder
44444,splenic sequestration crisis,hypersplenism
44445,closed fracture of lower end of tibia,tibia fracture
44446,blue nevus,melanocytic naevus
44447,ultrasound antenatal screening nos normal,ultrasound antenatal screen normal
44448,"malignant neoplasm of nasopharynx, unspecified, stage 0",nasopharyngeal cancer stage 0
44449,pancreas carcinoma,pancreatic carcinoma
44450,post-traumatic muscle contracture,muscle contracture
44451,liver function tests,liver function test
44452,associated with pulmonary arterial hypertension,pulmonary arterial hypertension
44453,graft failure,transplant failure
44454,perioral numbness,hypoaesthesia oral
44455,infusion site ischemia,infusion site ischaemia
44456,oedema tongue,tongue oedema
44457,spine malformation nos,spine malformation
44458,serum luteinising hormone abnormal,blood luteinising hormone abnormal
44459,ast high,aspartate aminotransferase increased
44460,posterior myocardial infarction,myocardial infarction
44461,finger tendon pulley injury,ligament injury
44462,thyroid tumour,thyroid neoplasm
44463,liver scan nos,liver scan
44464,mastoid abscess nos,mastoid abscess
44465,occult bleeding test positive,occult blood positive
44466,thoracic foraminal stenosis,vertebral foraminal stenosis
44467,lactose diarrhoea,lactose intolerance
44468,progressive optic neuropathy,optic neuropathy
44469,mild neurocognitive disorder,cognitive disorder
44470,hypoxaemia,hypoxia
44471,antibody-mediated rejection,transplant rejection
44472,oncogenic osteomalacia,hypophosphataemic osteomalacia
44473,culture mouth positive,culture positive
44474,steatosis hepatic,hepatic steatosis
44475,decreased white cell count,white blood cell count decreased
44476,"unspecified miliary tuberculosis, confirmed histologically",disseminated tuberculosis
44477,c-cell hyperplasia,thyroid c-cell hyperplasia
44478,"cleft palate, unspecified",cleft palate
44479,fractured humerus (compound),humerus fracture
44480,salaam attacks,infantile spasms
44481,serum lipid abnormal nos,lipids abnormal
44482,thoracic spinous process fracture,thoracic vertebral fracture
44483,kala-azar,visceral leishmaniasis
44484,blood neutrophils abnormal,neutrophil count abnormal
44485,oral neoplasm malignant stage iii,lip and/or oral cavity cancer stage iii
44486,uric acid,blood uric acid
44487,bacillus cereus test positive,bacillus test positive
44488,blood pancreatic amylase decreased,amylase decreased
44489,thalassemia major,thalassaemia
44490,pyoderma gangrenous,pyoderma gangrenosum
44491,sulphaemoglobin abnormal,sulphaemoglobin increased
44492,cholesterol total normal,blood cholesterol normal
44493,pain in joint involving hand,arthralgia
44494,administration site discoloration,administration site discolouration
44495,"osteopathy resulting from poliomyelitis, involving forearm",bone disorder
44496,reclus disease,fibrocystic breast disease
44497,vaccination site hyperesthesia,vaccination site hyperaesthesia
44498,revaccination,immunisation
44499,prostatic hypertrophy,benign prostatic hyperplasia
44500,fracture of humerus,humerus fracture
44501,type ii diabetes mellitus with neurological manifestations,diabetic neuropathy
44502,lower abdomen strange feeling of,abdominal discomfort
44503,phthirus pubis (pubic louse),lice infestation
44504,"blepharitis, unspecified",blepharitis
44505,unspecified osteomyelitis involving forearm,osteomyelitis
44506,adenocarcinoma with transitional cell carcinoma of bladder nos,bladder transitional cell carcinoma
44507,stiffness shoulder,musculoskeletal stiffness
44508,neoplasm of the mouth,oral neoplasm
44509,perforation bowel,intestinal perforation
44510,pharynx burning sensation of,throat irritation
44511,varicose veins (without ulcer),varicose vein
44512,stillbirth nos,stillbirth
44513,electronic audiometry,audiogram
44514,pleurisy obliterative,pleural fibrosis
44515,gonococcal spondylitis,arthritis gonococcal
44516,posterior inferior cerebellar artery thrombosis,cerebellar artery thrombosis
44517,mixed hyperlipidaemia,type v hyperlipidaemia
44518,candidiasis,candida infection
44519,"blepharophimosis, ptosis, and epicanthus inversus syndrome type i",bpes syndrome
44520,liquid product consistency issue,liquid product physical issue
44521,intermittent headache,headache
44522,haematoma postoperative,post procedural haematoma
44523,travel to tropical country,foreign travel
44524,faecal incontinence,anal incontinence
44525,bacteria nos blood identified,bacterial test positive
44526,oedema injection site,injection site oedema
44527,hiv encephalopathy,hiv-associated neurocognitive disorder
44528,urine dihydrotestosterone decreased,dihydrotestosterone decreased
44529,chemical burn of vagina,chemical burn of genitalia
44530,erythredema polyneuropathy,acrodynia
44531,bladder neck suspension,urinary bladder suspension
44532,late effects of other and unspecified infectious and parasitic diseases,infection
44533,addiction,dependence
44534,urtication,urticaria
44535,injection of esophageal varices,oesophageal variceal injection
44536,platelet aggregation nos increased,platelet aggregation increased
44537,atrophy of salivary gland,salivary gland atrophy
44538,fecaluria,faecaluria
44539,drug refill dispensing error,product dispensing error
44540,arnold-chiari malformation type iii,arnold-chiari malformation
44541,tumor infection,infected neoplasm
44542,cough weak,cough
44543,eye rolling,eye movement disorder
44544,uterine hemorrhage,uterine haemorrhage
44545,gastrooesophageal hernia,hiatus hernia
44546,wound hematoma,wound haematoma
44547,alveolar cell carcinoma,bronchioloalveolar carcinoma
44548,cholecystography oral normal,cholecystogram oral normal
44549,cancer of endometrium stage iii,endometrial cancer stage iii
44550,device misdeployment (location),device deployment issue
44551,malignant omentum neoplasm,malignant mesenteric neoplasm
44552,infusion associated sensation of cold,infusion related reaction
44553,dissociation auriculoventricular,atrioventricular dissociation
44554,urates blood increased,blood uric acid increased
44555,scrotum ulceration,scrotal ulcer
44556,acute infective pericarditis,pericarditis infective
44557,jaw disorder nos,jaw disorder
44558,rash lips,cheilitis
44559,pulmonary carcinoid tumour,carcinoid tumour pulmonary
44560,delayed hemolytic transfusion reaction,delayed haemolytic transfusion reaction
44561,umbilical bleeding,umbilical haemorrhage
44562,large cleaved follicular center cell lymphoma (lukes-collins classification) stage iv,"follicle centre lymphoma, follicular grade i, ii, iii stage iv"
44563,atonic uterus,uterine atony
44564,oesophageal adenocarcinoma upper third recurrent,oesophageal adenocarcinoma recurrent
44565,veb's,ventricular extrasystoles
44566,breakthrough cancer pain,breakthrough pain
44567,post myocardial infarction pericarditis,dressler's syndrome
44568,leukemic infiltration hepatic,leukaemic infiltration hepatic
44569,percutaneous nephroureteral stent placement,ureteral stent insertion
44570,dyspnoea on effort,dyspnoea exertional
44571,abscess of intestine,abscess intestinal
44572,lymph node dissection,lymphadenectomy
44573,convoluted t lymphocytic lymphoma (lukes-collins classification) stage i,precursor t-lymphoblastic lymphoma/leukaemia stage i
44574,rheumatoid arthropathy,rheumatoid arthritis
44575,"bacteremia, unspecified",bacteraemia
44576,acute pneumocystis carinii pneumonia,pneumocystis jirovecii pneumonia
44577,appetite exaggerated,increased appetite
44578,pneumonia bacterial nos,pneumonia bacterial
44579,malignant neoplasm of lateral wall of nasopharynx recurrent,nasopharyngeal cancer recurrent
44580,acute retention of urine,urinary retention
44581,foreign body trauma,foreign body
44582,eye operation nos,eye operation
44583,creatorrhea,creatorrhoea
44584,iliac artery pseudoaneurysm,vascular pseudoaneurysm
44585,product distribution delay due to pandemic,product distribution issue
44586,free plasma haemoglobin,free haemoglobin
44587,myocardial infarction scai definition,acute myocardial infarction
44588,urinary infection,urinary tract infection
44589,oestrogens total urine abnormal nos,oestrogens total urine abnormal
44590,polymenorrhea,polymenorrhoea
44591,methemoglobinemia,methaemoglobinaemia
44592,h1n1 influenza immunisation,influenza immunisation
44593,lumpy breasts,breast mass
44594,rectosigmoid cancer dukes b2,rectosigmoid cancer stage ii
44595,acute bi-ventricular heart failure,cardiac failure acute
44596,stool discolored,faeces discoloured
44597,blisters with epidermal loss due to burn (second degree) of genitalia,burns second degree
44598,"rheumatic heart disease, unspecified",rheumatic heart disease
44599,ovarian germ cell yolk sac tumor stage i a,ovarian germ cell endodermal sinus tumour stage i
